room,occupancy,ratty_dist,main_green_dist,nelson_dist,score
Minden 807,1,0.003007532,0.004380877,0.003093356,1.776970444
Slater Hall 207,1,0.002806514,0.000743744,0.0073448,1.804737854
Minden 409,1,0.003007532,0.004380877,0.003093356,1.939791428
Minden 609,1,0.003007532,0.004380877,0.003093356,2.162514169
Minden 309,1,0.003007532,0.004380877,0.003093356,2.236067977
Minden 209,1,0.003007532,0.004380877,0.003093356,2.507335506
Minden 305,1,0.003007532,0.004380877,0.003093356,2.638958434
315 Thayer 413,1,0.005500862,0.00509805,0.002791982,2.645751311
Gregorian Quad B 404D,1,0.002313592,0.004546342,0.007093942,2.645751311
Minden 709,1,0.003007532,0.004380877,0.003093356,2.682234487
Slater Hall 205,1,0.002806514,0.000743744,0.0073448,2.933191513
Wayland House 223,1,0.001267304,0.001463704,0.006804493,3
Barbour Hall 104,1,0.003332574,0.005684611,0.006333645,3.238612788
Slater Hall 305,1,0.002806514,0.000743744,0.0073448,3.420558654
Slater Hall 307,1,0.002806514,0.000743744,0.0073448,3.559994824
Minden 205,1,0.003007532,0.004380877,0.003093356,4.016145066
315 Thayer 417,1,0.005500862,0.00509805,0.002791982,4.216036573
Gregorian Quad A 408F,1,0.002219058,0.004508411,0.006818289,4.472135955
Miller 114,1,0.005212861,0.004169464,0.004259293,4.524657352
Slater Hall 105,1,0.002806514,0.000743744,0.0073448,4.623645423
Minden 605,1,0.003007532,0.004380877,0.003093356,4.647626663
Minden 805,1,0.003007532,0.004380877,0.003093356,4.760663964
Minden 405,1,0.003007532,0.004380877,0.003093356,4.822875656
315 Thayer 418,1,0.005500862,0.00509805,0.002791982,4.834144189
Gregorian Quad B 405C,1,0.002313592,0.004546342,0.007093942,4.8544285
315 Thayer 419,1,0.005500862,0.00509805,0.002791982,4.897915762
315 Thayer 420,1,0.005500862,0.00509805,0.002791982,4.949489743
Minden 705,1,0.003007532,0.004380877,0.003093356,4.961285655
Hegeman A202,1,0.000737564,0.002443331,0.005211221,4.985712273
315 Thayer 415,1,0.005500862,0.00509805,0.002791982,5
Slater Hall 206,1,0.002806514,0.000743744,0.0073448,5.017876439
Metcalf 114,1,0.00528862,0.004033401,0.004736,5.170951867
Metcalf 401,1,0.00528862,0.004033401,0.004736,5.33424759
Slater Hall 306,1,0.002806514,0.000743744,0.0073448,5.394216089
Minden 505,1,0.003007532,0.004380877,0.003093356,5.531128874
Gregorian Quad B 401B,1,0.002313592,0.004546342,0.007093942,5.58719884
Miller 417,1,0.005212861,0.004169464,0.004259293,5.699309846
Gregorian Quad B 405B,1,0.002313592,0.004546342,0.007093942,5.787984203
315 Thayer 320,2,0.005500862,0.00509805,0.002791982,5.854860064
Slater Hall 106,1,0.002806514,0.000743744,0.0073448,5.940348523
Grad Center C 410B,2,0.002140607,0.004200177,0.007408663,6.08276253
Hegeman A302,1,0.000737564,0.002443331,0.005211221,6.120409704
Gregorian Quad A 409A,1,0.002219058,0.004508411,0.006818289,6.225118874
315 Thayer 130,3,0.005500862,0.00509805,0.002791982,6.232100738
Gregorian Quad B 401C,1,0.002313592,0.004546342,0.007093942,6.23689042
315 Thayer 414,1,0.005500862,0.00509805,0.002791982,6.244997998
Gregorian Quad A 408D,1,0.002219058,0.004508411,0.006818289,6.366300744
East Andrews 306,1,0.00541031,0.004249048,0.004532952,6.433545356
315 Thayer 430,3,0.005500862,0.00509805,0.002791982,6.437884266
East Andrews 420,1,0.00541031,0.004249048,0.004532952,6.455586396
West Andrews 317,1,0.00541031,0.004249048,0.004532952,6.460435866
Hegeman E115,1,0.000737564,0.002443331,0.005211221,6.480740698
Gregorian Quad B 402C,1,0.002313592,0.004546342,0.007093942,6.483290132
Gregorian Quad A 410A,1,0.002219058,0.004508411,0.006818289,6.483357871
Gregorian Quad B 402A,1,0.002313592,0.004546342,0.007093942,6.589570624
Gregorian Quad B 403F,1,0.002313592,0.004546342,0.007093942,6.594580335
Gregorian Quad B 404B,1,0.002313592,0.004546342,0.007093942,6.633249581
Grad center A 642,1,0.002033301,0.003816952,0.007674111,6.708203932
Morris Hall 120,2,0.004877948,0.004103928,0.003714228,6.783038652
Hegeman A102,1,0.000737564,0.002443331,0.005211221,6.854641703
Gregorian Quad B 403B,1,0.002313592,0.004546342,0.007093942,6.928799399
315 Thayer 210,4,0.005500862,0.00509805,0.002791982,7
Gregorian Quad A 411,3,0.002219058,0.004508411,0.006818289,7.061682352
Hegeman E114,1,0.000737564,0.002443331,0.005211221,7.067026503
West Andrews 217,1,0.00541031,0.004249048,0.004532952,7.09651551
Metcalf 300,1,0.00528862,0.004033401,0.004736,7.157194257
Gregorian Quad B 403C,1,0.002313592,0.004546342,0.007093942,7.208839241
East Andrews 222,1,0.00541031,0.004249048,0.004532952,7.325578733
Gregorian Quad A 409E,1,0.002219058,0.004508411,0.006818289,7.330185308
315 Thayer 230,3,0.005500862,0.00509805,0.002791982,7.348469228
West Andrews 419,1,0.00541031,0.004249048,0.004532952,7.410810144
315 Thayer 220,2,0.005500862,0.00509805,0.002791982,7.416198487
Gregorian Quad A 408E,1,0.002219058,0.004508411,0.006818289,7.435524061
Gregorian Quad A 408B,1,0.002219058,0.004508411,0.006818289,7.455659151
Metcalf 121,1,0.00528862,0.004033401,0.004736,7.462604811
Miller 407,1,0.005212861,0.004169464,0.004259293,7.463440294
Metcalf 220,1,0.00528862,0.004033401,0.004736,7.528734569
Gregorian Quad A 409D,1,0.002219058,0.004508411,0.006818289,7.552395125
315 Thayer 330,3,0.005500862,0.00509805,0.002791982,7.681145748
Gregorian Quad A 410D,1,0.002219058,0.004508411,0.006818289,7.723331333
Wayland House 323,1,0.001267304,0.001463704,0.006804493,7.767260355
Gregorian Quad B 402F,1,0.002313592,0.004546342,0.007093942,7.817443631
Metcalf 200,1,0.00528862,0.004033401,0.004736,7.825757519
West Andrews 319,1,0.00541031,0.004249048,0.004532952,7.833936052
Gregorian Quad B 403A,1,0.002313592,0.004546342,0.007093942,7.845114872
East Andrews 406,1,0.00541031,0.004249048,0.004532952,7.846674663
East Andrews 320,1,0.00541031,0.004249048,0.004532952,7.848280884
315 Thayer 310,4,0.005500862,0.00509805,0.002791982,7.905630904
Gregorian Quad B 402B,1,0.002313592,0.004546342,0.007093942,7.943862573
Wayland House 320,1,0.001267304,0.001463704,0.006804493,7.958109183
Gregorian Quad B 405A,1,0.002313592,0.004546342,0.007093942,7.999446563
Metcalf 204,1,0.00528862,0.004033401,0.004736,8.010256591
Gregorian Quad A 410E,1,0.002219058,0.004508411,0.006818289,8.05121168
East Andrews 208,1,0.00541031,0.004249048,0.004532952,8.068890533
East Andrews 256,1,0.00541031,0.004249048,0.004532952,8.07575855
East Andrews 460,1,0.00541031,0.004249048,0.004532952,8.081114002
East Andrews 360,1,0.00541031,0.004249048,0.004532952,8.086322405
West Andrews 219,1,0.00541031,0.004249048,0.004532952,8.192064276
East Andrews 308,1,0.00541031,0.004249048,0.004532952,8.192730802
Miller 401,1,0.005212861,0.004169464,0.004259293,8.206287471
East Andrews 220,1,0.00541031,0.004249048,0.004532952,8.334038315
Barbour Hall 304,1,0.003332574,0.005684611,0.006333645,8.3463109
Gregorian Quad A 409F,1,0.002219058,0.004508411,0.006818289,8.374162766
Miller 418,1,0.005212861,0.004169464,0.004259293,8.388530516
Gregorian Quad A 410F,1,0.002219058,0.004508411,0.006818289,8.501181193
Minden 301,3,0.003007532,0.004380877,0.003093356,8.513821301
West Andrews 417,1,0.00541031,0.004249048,0.004532952,8.607200616
Machado 235,1,0.006216642,0.004264504,0.006829095,8.660254038
Gregorian Quad B 405A,2,0.002313592,0.004546342,0.007093942,8.706237898
West Andrews 303,1,0.00541031,0.004249048,0.004532952,8.715306854
Young Orchard #10 220,4,0.005475101,0.007769158,0.00646132,8.723987083
Grad Center D 211,1,0.001636932,0.003782765,0.006953485,8.746427842
Metcalf 212,1,0.00528862,0.004033401,0.004736,8.754109694
Young Orchard #2 330,4,0.004438724,0.006759134,0.006240018,8.796928592
Metcalf 201,1,0.00528862,0.004033401,0.004736,8.814588395
East Andrews 322,1,0.00541031,0.004249048,0.004532952,8.85712428
West Andrews 305,1,0.00541031,0.004249048,0.004532952,8.90224198
Metcalf 304,1,0.00528862,0.004033401,0.004736,8.905066131
West Andrews 403,1,0.00541031,0.004249048,0.004532952,8.919334702
Gregorian Quad A 408C,1,0.002219058,0.004508411,0.006818289,8.922733128
East Andrews 422,1,0.00541031,0.004249048,0.004532952,8.931170195
