score,room,rank,occupancy
1.7769704442608452,Minden 807,1,1
1.804737854124365,Slater Hall 207,2,1
1.9397914275594323,Minden 409,3,1
2.1625141686974581,Minden 609,4,1
2.2360679774997898,Minden 309,5,1
2.5073355063695222,Minden 209,6,1
2.6389584337646843,Minden 305,7,1
2.6457513110645907,315 Thayer 413,8,1
2.6457513110645907,Gregorian Quad B 404D,9,1
2.6822344868874488,Minden 709,10,1
2.9331915130339836,Slater Hall 205,11,1
3.0,Wayland House 223,12,1
3.2386127875258306,Barbour Hall 104,13,1
3.4205586539460633,Slater Hall 305,14,1
3.5599948243285091,Slater Hall 307,15,1
4.0161450660285434,Minden 205,16,1
4.2160365732986858,315 Thayer 417,17,1
4.4721359549995796,Gregorian Quad A 408F,18,1
4.5246573516820519,Miller 114,19,1
4.6236454229439339,Slater Hall 105,20,1
4.6476266630569523,Minden 605,21,1
4.76066396424961,Minden 805,22,1
4.8228756555322949,Minden 405,23,1
4.8341441888531058,315 Thayer 418,24,1
4.8544285004133716,Gregorian Quad B 405C,25,1
4.8979157616563596,315 Thayer 419,26,1
4.9494897427831779,315 Thayer 420,27,1
4.9612856554049252,Minden 705,28,1
4.9857122725051921,Hegeman A202,29,1
5.0,315 Thayer 415,30,1
5.0178764389803758,Slater Hall 206,31,1
5.1709518668856109,Metcalf 114,32,1
5.3342475897304942,Metcalf 401,33,1
5.3942160892182445,Slater Hall 306,34,1
5.5311288741492746,Minden 505,35,1
5.5871988399009433,Gregorian Quad B 401B,36,1
5.6993098461614,Miller 417,37,1
5.7879842025835675,Gregorian Quad B 405B,38,1
5.8548600637356314,315 Thayer 320,39,2
5.9403485229423154,Slater Hall 106,40,1
6.0827625302982193,Grad Center C 410B,41,2
6.1204097037677734,Hegeman A302,42,1
6.2251188739212822,Gregorian Quad A 409A,43,1
6.2321007377780502,315 Thayer 130,44,3
6.2368904198601784,Gregorian Quad B 401C,45,1
6.2449979983983983,315 Thayer 414,46,1
6.3663007435384431,Gregorian Quad A 408D,47,1
6.4335453564497413,East Andrews 306,48,1
6.4378842658479396,315 Thayer 430,49,3
6.4555863961070026,East Andrews 420,50,1
6.4604358659874528,West Andrews 317,51,1
6.4807406984078604,Hegeman E115,52,1
6.4832901320566165,Gregorian Quad B 402C,53,1
6.4833578709332693,Gregorian Quad A 410A,54,1
6.5895706235833691,Gregorian Quad B 402A,55,1
6.5945803352087511,Gregorian Quad B 403F,56,1
6.6332495807107996,Gregorian Quad B 404B,57,1
6.7082039324993694,Grad center A 642,58,1
6.783038651923051,Morris Hall 120,59,2
6.8546417028451163,Hegeman A102,60,1
6.9287993990340411,Gregorian Quad B 403B,61,1
7.0,315 Thayer 210,62,4
7.0616823521334187,Gregorian Quad A 411,63,3
7.0670265031603474,Hegeman E114,64,1
7.096515510471896,West Andrews 217,65,1
7.1571942565199604,Metcalf 300,66,1
7.2088392411164302,Gregorian Quad B 403C,67,1
7.3255787328879434,East Andrews 222,68,1
7.3301853083519308,Gregorian Quad A 409E,69,1
7.3484692283495345,315 Thayer 230,70,3
7.4108101439955023,West Andrews 419,71,1
7.416198487095663,315 Thayer 220,72,2
7.4355240608131341,Gregorian Quad A 408E,73,1
7.4556591505363885,Gregorian Quad A 408B,74,1
7.462604811114967,Metcalf 121,75,1
7.4634402936896933,Miller 407,76,1
7.5287345689613518,Metcalf 220,77,1
7.5523951252145398,Gregorian Quad A 409D,78,1
7.6811457478686078,315 Thayer 330,79,3
7.723331332960794,Gregorian Quad A 410D,80,1
7.7672603552317909,Wayland House 323,81,1
7.8174436308052737,Gregorian Quad B 402F,82,1
7.8257575185495156,Metcalf 200,83,1
7.8339360517231498,West Andrews 319,84,1
7.8451148718159276,Gregorian Quad B 403A,85,1
7.8466746629578337,East Andrews 406,86,1
7.8482808836003501,East Andrews 320,87,1
7.9056309036027912,315 Thayer 310,88,4
7.9438625728646546,Gregorian Quad B 402B,89,1
7.9581091834810991,Wayland House 320,90,1
7.999446562674831,Gregorian Quad B 405A,91,1
8.0102565910092096,Metcalf 204,92,1
8.051211680447615,Gregorian Quad A 410E,93,1
8.0688905329374698,East Andrews 208,94,1
8.0757585503042382,East Andrews 256,95,1
8.0811140024032699,East Andrews 460,96,1
8.0863224048758635,East Andrews 360,97,1
8.1920642755609112,West Andrews 219,98,1
8.1927308023507344,East Andrews 308,99,1
8.2062874714746403,Miller 401,100,1
8.3340383151453725,East Andrews 220,101,1
8.3463108996934068,Barbour Hall 304,102,1
8.3741627659256856,Gregorian Quad A 409F,103,1
8.3885305160358072,Miller 418,104,1
8.5011811925388052,Gregorian Quad A 410F,105,1
8.5138213009417392,Minden 301,106,3
8.6072006160073453,West Andrews 417,107,1
8.6602540378443873,Machado 235,108,1
8.7062378979299595,Gregorian Quad B 405A,109,2
8.7153068543007564,West Andrews 303,110,1
8.7239870833558051,Young Orchard #10 220,111,4
8.746427842267952,Grad Center D 211,112,1
8.7541096943526178,Metcalf 212,113,1
8.7969285916067861,Young Orchard #2 330,114,4
8.8145883948705031,Metcalf 201,115,1
8.8571242799206917,East Andrews 322,116,1
8.9022419799980508,West Andrews 305,117,1
8.9050661307946388,Metcalf 304,118,1
8.9193347018862266,West Andrews 403,119,1
8.9227331278156452,Gregorian Quad A 408C,120,1
8.9311701947773763,East Andrews 422,121,1
8.9708205196077024,Gregorian Quad B 405F,122,1
8.9844844095569592,Gregorian Quad B 401A,123,1
8.9975727930826483,Emery 207,124,1
9.0132629991755593,East Andrews 206,125,1
9.0204919998144391,West Andrews 457,126,1
9.0284199808415373,Young Orchard #2 340,127,4
9.0328361885214576,Young Orchard #2 230,128,4
9.049269105739846,Young Orchard #2 210,129,4
9.0599462706495739,Gregorian Quad B 401F,130,1
9.1573551968955478,Metcalf 324,131,1
9.2195444572928871,Gregorian Quad B 404C,132,1
9.2484575874838093,Metcalf 301,133,1
9.2564508912321504,West Andrews 257,134,1
9.2857089233798273,Young Orchard #2 220,135,4
9.2902896450878316,Miller 403,136,1
9.3071660926125421,Miller 410,137,1
9.3231275509835658,Gregorian Quad B 402D,138,1
9.3422890531485088,East Andrews 204,139,1
9.371915513697223,Gregorian Quad A 305,140,3
9.3827333449251125,Gregorian Quad A 409B,141,1
9.3837659709201446,Metcalf 320,142,1
9.4446042126314591,Young Orchard #2 420,143,4
9.4600913328182283,Metcalf 116,144,1
9.5753392195637197,East Andrews 260,145,1
9.5759529900512774,East Andrews 408,146,1
9.5916630466254382,315 Thayer 120,147,2
9.619273782995478,Young Orchard #2 240,148,4
9.6612067635259926,Young Orchard #2 310,149,4
9.6768426841803201,Metcalf 203,150,1
9.6953597148326587,315 Thayer 440,151,4
9.704233522020953,Barbour Hall 204,152,1
9.7979589711327115,Grad center A 421,153,1
9.8333264738414314,Gregorian Quad A 409C,154,1
9.8504016748373466,Gregorian Quad A 205,155,3
9.8619909302729134,West Andrews 401,156,1
9.9248168075246266,West Andrews 357,157,1
9.9989055532156836,West Andrews 455,158,1
10.082696926703168,Gregorian Quad A 410C,159,1
10.086336387518559,Metcalf 214,160,1
10.087082015875366,Grad Center D 411,161,1
10.091244888253753,Morriss Hall 120,162,2
10.099504938362077,Grad center A 141,163,1
10.099504938362077,Grad center A 415,164,1
10.099504938362077,Machado 237,165,1
10.11122348098068,Plantations House 303,166,1
10.135532212894827,West Andrews 203,167,1
10.147470408829188,Emery 120,168,1
10.148891565092219,Grad center A 411,169,1
10.148891565092219,Metcalf 224,170,1
10.198680264881959,West Andrews 405,171,1
10.204419338097621,Metcalf 125,172,1
10.212302023671548,Minden 715,173,3
10.285089720507189,Gregorian Quad B 403D,174,1
10.295975764265958,Emery 107,175,1
10.321131342810054,Gregorian Quad B 402E,176,1
10.334640473249516,Young Orchard #2 410,177,4
10.344080432788601,Fake Building 1,178,1
10.364767534349623,Gregorian Quad A 410B,179,1
10.372396474267235,Plantations House 206,180,1
10.385465660443135,Gregorian Quad A 405,181,3
10.40786010255116,West Andrews 255,182,1
10.455399860554831,West Andrews 355,183,1
10.467306605075562,Gregorian Quad B 405D,184,1
10.488088481701515,Grad Center D 333,185,1
10.488088481701515,Machado 236,186,1
10.498456696487214,Gregorian Quad B 405E,187,1
10.509598437693015,Gregorian Quad B 401D,188,1
10.563389320727397,East Andrews 358,189,1
10.590433639991643,Plantations House 304,190,1
10.599760586241615,East Andrews 458,191,1
10.635789870926828,Metcalf 216,192,1
10.671576566631902,Young Orchard #2 320,193,4
10.677078252031311,Grad center A 614,194,1
10.677078252031311,Grad center A 615,195,1
10.68225225735544,Gregorian Quad B 403E,196,1
