,Caswell Hall,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,New Pembroke #1,Grad Center B,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Woolley,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Mead House,Bronson House,Champlin,Olney House,Emery,West Andrews,Poland House,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Minden,Morris Hall
2,34,6,23,13,12,11,7,5,15,12,14,5,64,4,32,12,10,6,49,12,12,12,9,5,9,22,24,18,19,15,32,4,13,11,18,40,13,14,22,5,49,4
2,34,6,23,13,12,11,7,5,15,12,14,5,62,4,32,11,10,6,47,12,12,12,9,5,9,22,22,18,19,15,32,4,13,9,18,39,13,14,19,5,49,4
2,34,6,23,13,12,11,7,5,15,12,14,5,62,4,32,11,10,6,47,12,12,12,9,5,9,22,22,18,19,15,32,4,13,9,18,39,13,14,18,5,49,4
2,34,6,23,13,12,11,7,5,15,12,14,5,62,4,32,11,10,6,47,12,12,12,9,5,9,22,22,18,19,15,32,4,13,9,18,39,13,14,17,5,49,4
2,34,6,23,13,11,10,7,5,15,12,14,5,61,4,32,10,10,6,43,12,12,12,9,5,9,22,21,18,19,15,31,4,13,9,16,39,13,14,14,5,49,3
2,34,6,23,12,8,9,7,5,15,12,14,4,61,4,32,10,10,6,40,12,12,12,9,5,9,22,21,18,18,15,29,4,13,9,16,39,13,12,13,5,49,3
2,34,6,23,11,6,9,7,5,15,12,14,4,58,4,32,10,10,6,36,12,11,12,9,5,9,22,21,18,18,15,27,4,13,9,15,39,13,11,13,5,48,3
2,34,6,23,11,4,8,7,5,15,12,14,4,55,4,32,10,10,6,31,12,11,12,9,5,9,22,17,18,17,15,23,4,13,9,14,39,13,11,13,5,47,3
2,34,6,23,11,3,8,7,5,15,12,14,4,55,4,32,10,10,6,31,12,11,12,9,5,9,22,17,18,17,15,23,4,13,9,14,39,13,11,13,5,47,3
2,34,6,23,11,2,8,7,5,15,12,14,4,55,4,32,10,10,6,31,12,11,12,9,5,9,22,17,18,17,15,23,4,13,9,14,39,13,11,13,5,47,3
2,34,6,23,10,1,8,7,5,15,12,14,4,52,4,32,10,10,6,28,12,11,12,9,5,9,22,17,18,15,15,23,4,13,9,14,37,13,11,10,5,47,3
2,34,6,23,5,1,8,7,5,15,11,14,4,50,3,32,10,10,6,27,12,11,12,9,5,9,22,16,18,15,15,22,4,13,9,14,37,12,11,6,5,47,3
2,34,6,23,3,1,7,7,5,15,11,14,4,48,3,32,10,10,6,23,12,11,12,9,5,9,22,15,18,14,15,21,4,13,9,14,37,12,10,4,5,46,3
2,34,6,23,1,1,7,7,5,15,11,14,4,48,2,32,10,10,6,20,12,11,12,9,5,9,22,12,18,10,15,19,4,13,9,14,36,12,10,4,5,46,3
2,34,6,23,0,1,7,7,5,15,11,14,4,46,1,32,10,10,6,19,12,11,12,9,5,8,22,4,18,10,15,17,4,13,8,14,36,12,8,4,5,46,3
2,34,6,23,0,1,5,7,5,15,11,14,4,42,0,32,10,10,6,16,12,11,12,9,5,8,22,2,18,10,15,17,4,13,5,14,36,12,8,3,4,46,3
2,34,6,23,0,1,5,7,5,15,11,14,3,39,0,32,9,10,6,15,12,11,12,9,5,8,22,0,18,7,15,17,4,13,5,14,36,12,7,0,4,46,3
2,34,6,23,0,1,5,7,5,15,11,13,3,31,0,32,9,10,6,14,12,11,12,9,5,6,22,0,18,6,15,17,4,13,5,14,36,12,6,0,4,46,3
2,34,6,22,0,1,1,7,5,15,11,13,3,27,0,32,9,10,6,14,12,11,12,9,5,6,22,0,16,3,14,16,4,13,5,14,35,12,5,0,3,46,3
2,34,6,22,0,1,1,7,5,15,11,13,2,24,0,32,9,10,6,13,12,11,12,9,5,6,22,0,15,2,14,14,4,13,5,14,33,12,4,0,3,43,3
2,34,6,21,0,1,1,7,5,15,11,13,2,22,0,32,9,10,6,12,12,11,11,9,5,5,22,0,15,1,13,11,4,13,5,14,33,11,2,0,2,42,3
2,34,6,21,0,1,1,7,5,15,11,13,2,19,0,32,9,10,6,9,12,11,11,9,5,5,22,0,15,1,13,8,4,13,2,14,33,7,0,0,2,41,3
2,34,6,21,0,1,1,7,5,15,11,13,2,13,0,32,8,10,6,6,12,11,10,9,5,5,22,0,15,1,13,7,4,13,2,14,30,7,0,0,2,40,3
2,34,6,21,0,1,1,7,5,15,11,13,2,13,0,32,7,10,6,6,12,11,10,9,5,5,22,0,15,1,13,7,4,13,2,14,30,7,0,0,2,40,3
2,34,6,20,0,1,1,7,5,15,11,13,2,13,0,32,7,10,6,6,12,11,10,9,5,5,22,0,15,1,13,7,4,13,2,14,30,7,0,0,2,40,3
2,34,6,19,0,1,1,7,5,15,11,12,1,8,0,32,7,10,6,3,12,10,10,9,5,4,22,0,15,1,12,5,4,13,2,14,28,2,0,0,2,40,3
2,34,6,19,0,1,1,7,5,15,11,12,1,8,0,32,7,10,6,3,12,10,10,9,5,4,22,0,15,1,12,5,4,13,2,14,27,2,0,0,2,40,3
2,34,6,19,0,1,1,7,5,15,11,12,1,1,0,32,7,10,6,2,12,9,10,9,5,3,22,0,15,0,12,2,4,13,1,14,20,1,0,0,1,39,3
2,34,6,18,0,1,1,7,5,15,11,12,1,1,0,32,7,10,6,2,12,9,10,9,5,3,22,0,15,0,12,2,4,13,1,14,20,1,0,0,1,39,3
