Caswell Hall,Harkness House,Perkins Hall,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,Grad Center D,Grad Center B,Machado House,New Pembroke #4,Plantations House,111 Brown Street,Slater Hall,Grad Center C,Chapin House,Gregorian Quad A,Diman House,Gregorian Quad B,Barbour Hall,Grad center A,Olney House,Littlefield Hall,New Pembroke #1,Wayland House,Barbour Hall Apartments,Hegeman,315 Thayer,Sears House,Young Orchard #10,Marcy House,Minden
46,14,67,22,12,11,38,36,16,108,18,11,49,9,6,19,15,6,75,13,49,16,83,16,16,14,19,29,31,12,14,12,18,50
46,14,67,22,12,11,38,36,16,107,18,11,49,9,6,17,15,6,75,13,47,16,83,16,16,14,19,29,29,7,14,12,18,49
46,14,67,22,12,11,38,36,15,107,18,11,49,9,6,17,15,6,71,13,40,16,82,16,16,13,19,29,28,5,14,12,18,49
46,14,67,22,12,8,38,36,15,106,18,11,49,9,6,17,15,6,63,13,36,16,82,16,16,13,19,29,27,4,14,12,18,49
46,14,67,22,12,7,38,36,14,102,18,11,49,9,6,17,15,6,57,13,33,16,82,16,16,12,19,29,27,3,14,12,18,49
46,14,67,22,12,7,38,36,14,102,18,11,49,9,6,17,15,6,57,13,32,16,82,16,16,12,19,29,27,3,14,12,18,49
46,14,67,22,12,7,38,36,14,102,18,11,49,9,6,17,15,6,57,13,31,16,82,16,16,12,19,29,27,3,14,12,18,49
46,14,67,22,12,7,38,36,14,102,18,11,49,9,6,17,15,6,57,13,30,16,82,16,16,12,19,29,27,3,14,12,18,49
46,14,67,22,10,5,38,36,11,102,18,11,49,9,6,16,15,6,55,13,26,16,82,16,16,10,19,29,25,3,14,12,18,49
46,14,67,22,9,5,38,36,3,101,18,11,49,9,6,16,15,6,53,13,26,16,78,16,16,5,19,29,23,3,14,12,18,49
46,14,67,22,7,3,38,36,3,99,18,11,49,9,6,16,15,6,52,13,24,16,76,16,16,5,19,29,23,1,14,12,18,46
46,14,67,22,5,2,38,36,3,95,18,11,49,9,6,16,15,6,51,13,24,16,75,16,16,5,19,29,22,0,14,11,18,41
46,14,67,22,4,2,38,36,3,89,18,11,49,9,6,16,15,6,51,13,24,16,75,16,16,5,19,29,21,0,14,10,18,38
46,14,67,22,3,2,38,36,3,78,18,11,49,9,6,16,15,6,51,13,23,16,71,16,16,5,19,29,20,0,14,10,18,38
46,14,67,22,3,2,38,36,3,71,18,11,49,9,6,16,15,6,49,13,23,16,64,16,16,5,19,29,19,0,14,8,18,37
46,14,67,22,3,2,38,36,3,63,18,11,49,9,6,16,15,6,48,13,22,16,63,16,16,5,19,29,19,0,14,7,18,37
