Number ,Residence Hall ,Room ,Occupancy ,Time
489,Mead House,109,1,4/6/09 6:05:34
490,Minden,506,2,4/6/09 6:06:08
490,Poland House,321,1,4/6/09 6:06:14
490,Poland House,325,1,4/6/09 6:06:15
490,Poland House,338,1,4/6/09 6:06:21
491,New Pembroke #1,202,1,4/6/09 6:07:59
492,Harkness House,327,1,4/6/09 6:08:13
493,Diman House,332,1,4/6/09 6:08:24
494,New Pembroke #4,402,1,4/6/09 6:08:42
495,Diman House,325,1,4/6/09 6:09:09
496,No Show,,,4/6/09 6:09:30
497,Harkness House,321,1,4/6/09 6:09:48
498,New Pembroke #1,205,1,4/6/09 6:10:00
499,Drop to 517,,,4/6/09 6:10:31
500,Barbour Hall,101,2,4/6/09 6:10:40
500,Barbour Hall,201,2,4/6/09 6:10:41
500,Mead House,227,1,4/6/09 6:10:49
501,Jameson House,219,1,4/6/09 6:11:02
502,Harkness House,319,1,4/6/09 6:11:18
503,Diman House,226,1,4/6/09 6:11:35
504,Slater Hall,304,4,4/6/09 6:11:50
505,Harkness House,320,1,4/6/09 6:12:05
506,Barbour Hall,208,2,4/6/09 6:12:24
506,Barbour Hall,301,2,4/6/09 6:12:21
506,Barbour Hall,308,2,4/6/09 6:12:22
507,Diman House,310,1,4/6/09 6:12:36
508,Diman House,311,1,4/6/09 6:12:46
509,Caswell Hall,402,2,4/6/09 6:13:09
509,Diman House,323,1,4/6/09 6:13:02
510,New Pembroke #1,206,1,4/6/09 6:13:21
511,New Pembroke #1,405,1,4/6/09 6:13:33
512,Diman House,312,1,4/6/09 6:13:47
513,Bronson House,309,1,4/6/09 6:14:11
513,Gregorian Quad A,410,2,4/6/09 6:14:05
514,Caswell Hall,410,2,4/6/09 6:14:25
515,Barbour Hall Apartments,80,4,4/6/09 6:14:51
515,Slater Hall,402,2,4/6/09 6:14:45
516,Barbour Hall Apartments,350,5,4/6/09 6:15:03
517,Sears House,400A,7,4/6/09 6:15:23
518,Diman House,229A,1,4/6/09 6:15:35
519,Caswell Hall,401,2,4/6/09 6:15:55
519,Caswell Hall,404,2,4/6/09 6:15:55
519,Slater Hall,403,2,4/6/09 6:15:59
520,Caswell Hall,411,2,4/6/09 6:16:09
520,Caswell Hall,412,2,4/6/09 6:16:12
521,No Show,,,4/6/09 6:16:39
522,Grad Center B,510,6,4/6/09 6:18:54
523,Harkness House,326A,1,4/6/09 6:19:25
524,Slater Hall,202,2,4/6/09 6:19:39
525,Slater Hall,303,2,4/6/09 6:19:50
526,Archibald House,306,1,4/6/09 6:20:14
526,Harkness House,326B,1,4/6/09 6:20:10
526,Slater Hall,405,2,4/6/09 6:20:05
527,Archibald House,227,1,4/6/09 6:20:42
527,Slater Hall,204,4,4/6/09 6:20:34
527,Slater Hall,406,2,4/6/09 6:20:34
528,Diman House,229B,1,4/6/09 6:20:57
528,Diman House,329A,1,4/6/09 6:20:58
528,Diman House,329B,1,4/6/09 6:21:05
529,Caswell Hall,206,2,4/6/09 6:21:27
529,Slater Hall,101,4,4/6/09 6:21:23
530,Grad Center D,420,5,4/6/09 6:21:44
531,Jameson House,218,1,4/6/09 6:22:23
532,Harkness House,400B,8,4/6/09 6:22:39
533,New Pembroke #1,305,1,4/6/09 6:22:51
534,Caswell Hall,302,2,4/6/09 6:23:04
535,Bronson House,304,1,4/6/09 6:23:17
536,Caswell Hall,311,2,4/6/09 6:23:59
536,Caswell Hall,312,2,4/6/09 6:24:02
536,Grad Center A,310,5,4/6/09 6:23:45
536,Machado,121,1,4/6/09 6:23:35
537,Bronson House,306,1,4/6/09 6:24:21
538,Caswell Hall,301,2,4/6/09 6:24:39
538,Caswell Hall,405,2,4/6/09 6:24:36
538,Caswell Hall,406,2,4/6/09 6:24:35
539,Barbour Hall Apartments,320,4,4/6/09 6:25:00
539,Marcy House,340,2,4/6/09 6:25:08
539,Marcy House,341,2,4/6/09 6:25:08
539,Marcy House,342,2,4/6/09 6:25:12
539,New Pembroke #2,102,2,4/6/09 6:24:56
540,Archibald House,422,1,4/6/09 6:25:24
541,Grad Center B,440,5,4/6/09 6:25:38
542,Barbour Hall,203,3,4/6/09 6:25:56
542,Barbour Hall Apartments,220,4,4/6/09 6:25:53
543,Bronson House,204,1,4/6/09 6:26:22
543,Grad Center A,340,6,4/6/09 6:26:16
544,Caswell Hall,102,2,4/6/09 6:26:55
544,Caswell Hall,105,2,4/6/09 6:26:58
545,Grad Center B,630,6,4/6/09 6:27:10
546,Machado,122,1,4/6/09 6:27:25
547,Grad Center D,610,5,4/6/09 6:27:34
548,Bronson House,206,1,4/6/09 6:27:49
549,Everett House,316,1,4/6/09 6:27:59
550,Harkness House,400A,7,4/6/09 6:28:16
551,Barbour Hall Apartments,30,4,4/6/09 6:28:35
551,Minden,606,2,4/6/09 6:28:39
551,New Pembroke #1,204,1,4/6/09 6:28:43
552,Grad Center D,410,5,4/6/09 6:29:07
553,New Pembroke #1,307,1,4/6/09 6:29:21
553,New Pembroke #1,407,1,4/6/09 6:29:24
554,Grad Center B,610,6,4/6/09 6:29:37
555,Grad Center D,430,5,4/6/09 6:29:50
556,Caswell Hall,306,2,4/6/09 6:30:06
557,Mead House,204,1,4/6/09 6:30:24
557,New Pembroke #1,402,1,4/6/09 6:30:30
558,Diman House,227,2,4/6/09 6:30:49
559,Grad Center A,640,6,4/6/09 6:31:05
560,Diman House,221,3,4/6/09 6:31:21
560,Diman House,231,2,4/6/09 6:31:22
560,Diman House,233,2,4/6/09 6:31:25
561,Grad Center A,410,5,4/6/09 6:31:47
562,Minden,101,3,4/6/09 6:31:57
563,Grad Center D,520,6,4/6/09 6:32:12
563,Grad Center D,540,6,4/6/09 6:32:15
564,Grad Center D,210,4,4/6/09 6:32:33
565,Barbour Hall Apartments,120,4,4/6/09 6:32:45
566,Grad Center B,420,5,4/6/09 6:33:01
567,Grad Center A,430,5,4/6/09 6:33:14
568,Grad Center D,310,5,4/6/09 6:33:46
569,Caswell Hall,409,2,4/6/09 6:35:21
569,Grad Center D,230,5,4/6/09 6:35:11
569,New Pembroke #1,306,1,4/6/09 6:34:06
570,Grad Center A,440,6,4/6/09 6:35:35
571,Barbour Hall Apartments,180,4,4/6/09 6:35:49
572,New Pembroke #1,404,1,4/6/09 6:36:09
572,New Pembroke #1,406,1,4/6/09 6:36:05
573,Caswell Hall,305,2,4/6/09 6:36:44
573,Caswell Hall,307,2,4/6/09 6:36:47
573,Minden,608,2,4/6/09 6:36:26
574,Barbour Hall,206,2,4/6/09 6:37:04
574,New Pembroke #2,302,1,4/6/09 6:37:38
574,New Pembroke #4,313,1,4/6/09 6:37:42
575,Grad Center D,440,6,4/6/09 6:38:07
576,Caswell Hall,407,2,4/6/09 6:38:20
576,Caswell Hall,408,2,4/6/09 6:38:22
577,Grad Center D,220,6,4/6/09 6:38:36
578,Caswell Hall,309,2,4/6/09 6:38:57
578,Caswell Hall,310,2,4/6/09 6:39:01
579,Caswell Hall,109,2,4/6/09 6:39:53
579,Caswell Hall,201,2,4/6/09 6:39:55
579,Caswell Hall,205,2,4/6/09 6:39:57
580,Diman House,400A,8,4/6/09 6:40:10
581,Barbour Hall Apartments,380,4,4/6/09 6:40:24
581,Grad Center D,110,5,4/6/09 6:40:31
582,Caswell Hall,107,2,4/6/09 6:40:50
582,Caswell Hall,108,2,4/6/09 6:40:52
583,Drop to 588,,,4/6/09 6:41:09
584,Caswell Hall,208,2,4/6/09 6:41:31
584,Caswell Hall,212,2,4/6/09 6:41:33
584,Caswell Hall,308,2,4/6/09 6:41:36
585,Diman House,400B,8,4/6/09 6:41:51
586,Grad Center B,230,5,4/6/09 6:42:10
587,Grad Center C,140,5,4/6/09 6:42:29
588,Grad Center A,220,5,4/6/09 6:42:40
589,Caswell Hall,103,2,4/6/09 6:43:01
589,Caswell Hall,104,2,4/6/09 6:43:04
589,Caswell Hall,106,2,4/6/09 6:43:10
590,Grad Center A,210,5,4/6/09 6:43:44
591,Diman House,215,3,4/6/09 6:44:20
592,Grad Center B,240,5,4/6/09 6:44:31
593,Grad Center D,240,6,4/6/09 6:44:44
594,Grad Center C,240,5,4/6/09 6:44:55
595,Machado,31,1,4/6/09 6:45:07
596,New Pembroke #4,413,1,4/6/09 6:45:27
597,Caswell Hall,112,2,4/6/09 6:45:56
597,Caswell Hall,204,2,4/6/09 6:45:55
597,Caswell Hall,403,2,4/6/09 6:45:58
598,Minden,212,4,4/6/09 6:46:21
598,Minden,806,2,4/6/09 6:46:24
599,Barbour Hall,205,3,4/6/09 6:46:46
599,Minden,706,2,4/6/09 6:46:38
600,Grad Center C,220,5,4/6/09 6:46:57
601,Diman House,301,2,4/6/09 6:47:17
601,Diman House,302,2,4/6/09 6:47:17
601,Diman House,307,2,4/6/09 6:47:19
601,Diman House,308,2,4/6/09 6:47:22
602,Barbour Hall,106,2,4/6/09 6:47:39
602,Barbour Hall,108,2,4/6/09 6:47:38
602,Barbour Hall,202,2,4/6/09 6:47:44
602,Caswell Hall,101,2,4/6/09 6:47:55
602,Caswell Hall,110,2,4/6/09 6:47:51
603,Grad Center D,320,6,4/6/09 6:48:11
604,Grad Center D,640,6,4/6/09 6:48:33
604,Machado,37,1,4/6/09 6:48:26
604,Machado,38,1,4/6/09 6:48:28
605,Grad Center D,340,6,4/6/09 6:48:47
606,Diman House,327,2,4/6/09 6:49:10
606,Diman House,328,2,4/6/09 6:49:10
606,Diman House,333,2,4/6/09 6:49:11
606,Diman House,334,2,4/6/09 6:49:13
607,Harkness House,301,2,4/6/09 6:49:53
607,Harkness House,302,2,4/6/09 6:49:54
607,Machado,123,1,4/6/09 6:49:38
607,Minden,408,2,4/6/09 6:50:10
608,Grad Center B,140,5,4/6/09 6:50:48
608,Grad Center B,210,6,4/6/09 6:50:51
609,Grad Center A,620,6,4/6/09 6:51:04
610,Grad Center A,130,5,4/6/09 6:51:17
611,Grad Center A,420,6,4/6/09 6:51:33
611,Harkness House,201,2,4/6/09 6:51:38
611,Harkness House,202,2,4/6/09 6:51:41
612,Grad Center B,120,5,4/6/09 6:52:01
613,Grad Center B,110,5,4/6/09 6:52:11
614,Grad Center A,140,5,4/6/09 6:54:09
615,Miller,121,3,4/6/09 6:55:32
615,Miller,122,2,4/6/09 6:55:35
616,Grad Center B,410,6,4/6/09 6:55:46
617,Gregorian Quad B,401,2,4/6/09 6:57:22
617,Gregorian Quad B,403,2,4/6/09 6:57:25
618,Diman House,117,2,4/6/09 6:57:43
618,Diman House,121,2,4/6/09 6:57:44
618,Diman House,217,2,4/6/09 6:57:47
619,Pass,,,4/6/09 6:57:58
620,Barbour Hall,306,2,4/6/09 6:58:20
620,Diman House,317,2,4/6/09 6:58:26
621,Diman House,115,3,4/6/09 6:59:24
621,Diman House,315,3,4/6/09 6:58:41
621,Diman House,321,2,4/6/09 7:00:02
622,Harkness House,204,2,4/6/09 7:00:28
622,Harkness House,323,2,4/6/09 7:00:28
622,Harkness House,324,2,4/6/09 7:00:31
623,Marcy House,225,3,4/6/09 7:01:10
624,Barbour Hall,105,3,4/6/09 7:01:33
624,Grad Center A,240,6,4/6/09 7:01:28
625,Gregorian Quad A,408A,2,4/6/09 7:01:55
625,Gregorian Quad A,408F,2,4/6/09 7:01:58
625,Gregorian Quad A,409,2,4/6/09 7:02:02
626,Minden,712,4,4/6/09 7:02:18
627,Pass,,,4/6/09 7:02:26
628,Harkness House,304,2,4/6/09 7:02:51
628,Harkness House,328,2,4/6/09 7:02:48
628,Harkness House,329,2,4/6/09 7:02:49
629,111 Brown Street,202,2,4/6/09 7:03:12
629,111 Brown Street,301,2,4/6/09 7:03:13
629,111 Brown Street,302,2,4/6/09 7:03:15
630,Machado,315,3,4/6/09 7:03:33
631,Harkness House,313,2,4/6/09 7:03:47
631,Harkness House,314,2,4/6/09 7:03:48
631,Harkness House,317,2,4/6/09 7:03:50
632,Grad Center D,120,4,4/6/09 7:04:04
632,Grad Center D,140,4,4/6/09 7:04:07
633,Sears House,213,2,4/6/09 7:04:27
633,Sears House,214,2,4/6/09 7:04:30
634,Marcy House,319,3,4/6/09 7:04:44
634,Marcy House,321,2,4/6/09 7:04:47
635,Bronson House,319,3,4/6/09 7:05:20
635,Diman House,234,2,4/6/09 7:05:03
636,Pass,,,4/6/09 7:05:30
637,Minden,312,4,4/6/09 7:05:47
637,Minden,412,4,4/6/09 7:05:49
638,Goddard House,301,2,4/6/09 7:06:13
638,Goddard House,302,2,4/6/09 7:06:13
638,Goddard House,304,2,4/6/09 7:06:14
638,Goddard House,308,2,4/6/09 7:06:17
639,Sears House,313,2,4/6/09 7:07:13
639,Sears House,317,2,4/6/09 7:07:16
640,Pass,,,4/6/09 7:07:51
641,Marcy House,121,2,4/6/09 7:08:12
641,Marcy House,125,2,4/6/09 7:08:13
641,Marcy House,221,2,4/6/09 7:08:16
642,Sears House,301,2,4/6/09 7:08:29
642,Sears House,302,2,4/6/09 7:08:30
642,Sears House,304,2,4/6/09 7:08:33
643,Goddard House,127,2,4/6/09 7:08:57
643,Goddard House,217,2,4/6/09 7:08:59
643,Goddard House,223,2,4/6/09 7:08:58
643,Goddard House,227,2,4/6/09 7:08:58
643,Goddard House,323,2,4/6/09 7:09:00
643,Goddard House,327,2,4/6/09 7:09:10
644,No Show,,,4/6/09 7:09:49
645,Harkness House,213,2,4/6/09 7:10:08
645,Harkness House,217,2,4/6/09 7:10:10
645,Hegeman,B105,2,4/6/09 7:10:14
646,Gregorian Quad B,405,2,4/6/09 7:10:40
647,Barbour Hall,103,3,4/6/09 7:10:59
647,Barbour Hall,303,3,4/6/09 7:11:02
648,Machado,30,2,4/6/09 7:11:28
648,Minden,612,4,4/6/09 7:11:32
649,No Show,,,4/6/09 7:11:45
650,Chapin House,217,2,4/6/09 7:12:10
650,Jameson House,117,3,4/6/09 7:12:04
651,Sears House,217,2,4/6/09 7:13:22
651,Sears House,223,2,4/6/09 7:13:24
651,Sears House,307,2,4/6/09 7:13:18
651,Sears House,308,2,4/6/09 7:13:18
651,Sears House,314,2,4/6/09 7:13:19
652,Diman House,331,2,4/6/09 7:13:53
