Number,Residence Hall,Room,Occupancy,Time
461,New Pembroke #1,405,1,2012-04-17 06:06:24
462,No Show,,,2012-04-17 06:06:58
463,Minden,801,3,2012-04-17 06:07:17
464,Drop to 474,,,2012-04-17 06:07:46
465,Hope College,114,1,2012-04-17 06:08:29
465,Minden,113,3,2012-04-17 06:08:11
466,Hope College,108,1,2012-04-17 06:09:15
467,Hope College,106,1,2012-04-17 06:09:37
468,Hope College,116,1,2012-04-17 06:09:50
469,Drop to 488,,,2012-04-17 06:10:09
470,Grad Center B,440,5,2012-04-17 06:10:37
470,Gregorian Quad A,504,2,2012-04-17 06:10:48
470,Gregorian Quad A,506,2,2012-04-17 06:10:51
471,Barbour Hall,201,2,2012-04-17 06:12:02
472,New Pembroke #1,406,1,2012-04-17 06:12:25
473,Gregorian Quad A,505,2,2012-04-17 06:13:02
473,Slater Hall,405,2,2012-04-17 06:12:54
474,Barbour Hall,301,2,2012-04-17 06:13:20
475,Gregorian Quad A,502,2,2012-04-17 06:13:43
475,Gregorian Quad A,503,2,2012-04-17 06:13:46
476,Barbour Hall Apartments,80,4,2012-04-17 06:14:07
477,New Pembroke #1,205,1,2012-04-17 06:14:26
478,Morriss Hall,401,6,2012-04-17 06:14:45
479,New Pembroke #1,202,1,2012-04-17 06:14:58
480,New Pembroke #1,302,1,2012-04-17 06:15:10
481,New Pembroke #1,204,1,2012-04-17 06:15:32
482,Caswell Hall,102,2,2012-04-17 06:15:51
483,New Pembroke #1,206,1,2012-04-17 06:16:04
484,111 Brown Street,102,2,2012-04-17 06:16:24
485,Caswell Hall,111,2,2012-04-17 06:16:41
486,Barbour Hall Apartments,360,5,2012-04-17 06:17:16
487,Diman House,312,1,2012-04-17 06:17:32
488,Harkness House,400A,7,2012-04-17 06:17:55
489,Minden,702,3,2012-04-17 06:18:11
490,New Pembroke #1,305,1,2012-04-17 06:18:34
491,Morriss Hall,301,6,2012-04-17 06:18:52
492,New Pembroke #1,307,1,2012-04-17 06:19:05
493,Caswell Hall,401,2,2012-04-17 06:19:22
493,Caswell Hall,402,2,2012-04-17 06:19:25
494,Caswell Hall,206,2,2012-04-17 06:19:46
494,Caswell Hall,302,2,2012-04-17 06:19:37
494,Caswell Hall,306,2,2012-04-17 06:19:50
495,New Pembroke #1,402,1,2012-04-17 06:20:01
496,New Pembroke #1,306,1,2012-04-17 06:20:13
497,Grad Center B,530,5,2012-04-17 06:20:29
497,Plantations House,202,2,2012-04-17 06:20:37
498,Barbour Hall Apartments,160,5,2012-04-17 06:20:58
499,Marcy House,400B,6,2012-04-17 06:21:15
500,Gregorian Quad A,509,2,2012-04-17 06:21:32
500,Gregorian Quad A,511,2,2012-04-17 06:21:34
501,Caswell Hall,409,2,2012-04-17 06:21:54
501,Caswell Hall,412,2,2012-04-17 06:21:58
501,Gregorian Quad A,603,2,2012-04-17 06:22:09
502,New Pembroke #1,404,1,2012-04-17 06:22:39
503,Minden,202,3,2012-04-17 06:22:56
504,Caswell Hall,207,2,2012-04-17 06:23:11
505,Caswell Hall,307,2,2012-04-17 06:24:02
505,Hope College,312,2,2012-04-17 06:23:45
505,Hope College,412,2,2012-04-17 06:23:47
506,Minden,402,3,2012-04-17 06:24:20
507,Marcy House,400A,6,2012-04-17 06:24:34
508,Caswell Hall,407,2,2012-04-17 06:24:54
508,Caswell Hall,410,2,2012-04-17 06:24:50
508,Caswell Hall,411,2,2012-04-17 06:24:51
509,Barbour Hall Apartments,250,5,2012-04-17 06:25:18
510,Hope College,112,2,2012-04-17 06:25:58
510,Hope College,120,2,2012-04-17 06:26:02
511,Caswell Hall,310,2,2012-04-17 06:26:25
