Caswell Hall,Bronson House,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,New Pembroke #1,111 Brown Street,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Grad Center B,Woolley,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Mead House,Olney House,Champlin,King House,Emery,West Andrews,Poland House,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Minden,Morris Hall
42,9,19,36,13,12,14,10,11,19,6,20,23,65,9,19,32,17,12,13,49,27,18,14,9,5,2,22,26,20,19,16,32,5,21,13,29,40,30,14,27,19,49,5
42,9,19,36,13,12,14,10,11,19,6,20,23,63,9,19,32,16,12,13,47,27,18,14,9,5,2,22,24,20,19,16,32,5,21,11,29,39,30,14,24,19,49,5
42,9,19,36,13,12,14,10,11,19,6,20,23,63,9,19,32,16,12,13,47,27,18,14,9,5,2,22,24,20,19,16,32,5,21,11,29,39,30,14,23,19,49,5
42,9,19,36,13,12,14,10,11,19,6,20,23,63,9,19,32,16,12,13,47,27,18,14,9,5,2,22,24,20,19,16,32,5,21,11,29,39,30,14,22,19,49,5
42,9,19,36,13,11,13,10,11,19,6,20,23,62,9,19,32,15,12,13,43,27,18,14,9,5,2,22,23,20,19,16,31,5,21,11,27,39,30,14,19,19,49,4
42,9,19,36,12,8,12,10,11,19,6,20,22,62,9,19,32,15,12,13,40,27,18,14,9,5,2,22,23,20,18,16,29,5,21,11,27,39,30,12,18,19,49,4
42,9,19,36,11,6,12,10,11,19,6,20,22,59,9,19,32,15,12,13,36,27,17,14,9,5,2,22,23,20,18,16,27,5,21,11,26,39,30,11,18,19,48,4
42,9,19,36,11,4,11,10,11,19,6,20,22,56,9,19,32,15,12,13,31,27,17,14,9,5,2,22,19,20,17,16,23,5,21,11,25,39,30,11,18,19,47,4
42,9,19,36,11,3,11,10,11,19,6,20,22,56,9,19,32,15,12,13,31,27,17,14,9,5,2,22,19,20,17,16,23,5,21,11,25,39,30,11,18,19,47,4
42,9,19,36,11,2,11,10,11,19,6,20,22,56,9,19,32,15,12,13,31,27,17,14,9,5,2,22,19,20,17,16,23,5,21,11,25,39,30,11,18,19,47,4
42,9,19,36,10,1,11,10,11,19,6,20,22,53,9,19,32,15,12,13,28,27,17,14,9,5,2,22,19,20,15,16,23,5,21,11,25,37,30,11,15,19,47,4
42,9,19,36,5,1,11,10,11,19,6,20,22,51,8,18,32,15,12,13,27,27,17,14,9,5,2,22,18,20,15,16,22,5,21,11,25,37,29,11,11,19,47,4
42,9,19,36,3,1,10,10,11,19,6,20,22,49,8,18,32,15,12,13,23,27,17,14,9,5,2,22,17,20,14,16,21,5,21,11,25,37,29,10,9,19,46,4
42,9,19,36,1,1,10,10,11,19,6,20,22,49,7,18,32,15,12,13,20,27,17,14,9,5,2,22,14,20,10,16,19,5,21,11,25,36,29,10,9,19,46,4
42,9,19,36,0,1,10,10,11,19,6,20,22,47,6,18,32,15,12,13,19,27,17,14,8,5,2,22,6,20,10,16,17,5,21,10,25,36,29,8,9,19,46,4
42,9,19,36,0,1,8,10,11,19,6,20,22,43,5,18,32,15,12,13,16,27,17,14,8,5,2,22,4,20,10,16,17,5,21,7,25,36,29,8,8,18,46,4
42,9,19,36,0,1,8,10,11,19,6,20,21,40,5,18,32,14,12,13,15,27,17,14,8,5,2,22,2,20,7,16,17,5,21,7,25,36,29,7,5,18,46,4
