Caswell Hall,Bronson House,Harkness House,Goddard House,New Pembroke #3,Young Orchard #4,Young Orchard #2,Hope College,Morriss Hall,New Pembroke #2,Champlin,Woolley,Grad Center C,Grad Center A,Metcalf,111 Brown Street,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,New Pembroke #4,Barbour Hall,Minden,Olney House,Emery,Grad Center B,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Mead House
39,7,23,34,8,14,13,11,4,19,5,28,19,17,48,4,22,7,11,49,35,20,19,51,26,17,18,28,19,16,17,14,52,3,18,11,25,38,26,13,30,20,19,10
39,7,23,34,8,14,13,11,4,19,5,28,19,17,45,4,20,7,11,49,35,20,18,47,26,16,18,26,19,16,17,14,51,3,18,11,25,38,26,13,30,20,19,10
39,7,23,34,8,14,13,11,4,19,5,28,18,17,41,4,20,7,11,48,35,20,18,47,26,16,18,25,19,16,17,14,49,3,18,10,25,37,26,13,28,20,19,10
39,7,23,34,8,13,13,11,4,19,5,28,18,17,41,4,17,7,11,46,35,20,18,46,26,16,18,24,19,16,15,14,46,3,18,10,25,37,26,13,28,20,19,10
39,7,23,34,8,13,12,11,4,19,5,28,18,17,39,4,17,7,11,41,35,19,18,46,26,16,18,24,19,16,15,14,45,3,18,10,24,37,26,13,23,20,19,10
39,7,23,34,8,13,9,11,4,18,5,28,18,17,38,4,17,7,11,41,35,19,17,45,26,16,18,23,19,16,15,14,40,3,18,10,24,35,26,11,20,20,19,10
39,7,23,34,8,11,7,9,4,18,5,28,18,17,36,4,17,7,11,35,35,19,17,45,26,16,18,22,18,16,15,14,40,3,18,8,24,35,26,11,20,20,19,10
39,7,23,34,8,11,2,9,4,18,5,28,18,17,33,4,17,7,11,34,35,19,16,45,26,16,18,18,18,16,15,14,36,3,18,8,23,35,26,10,17,20,19,10
39,7,23,34,8,11,2,9,4,18,5,28,18,17,33,4,17,7,11,33,35,19,16,45,26,16,18,18,18,16,15,14,36,3,18,8,23,35,26,10,17,20,19,10
39,7,23,34,8,9,2,8,4,18,5,28,18,17,29,4,17,7,11,32,35,19,16,44,26,15,18,17,18,16,13,14,35,3,18,7,22,35,26,10,15,20,19,10
39,7,23,34,8,7,2,8,4,18,5,28,18,17,28,4,17,7,11,28,35,19,16,44,26,15,18,12,18,16,13,14,34,3,18,7,22,35,26,10,10,20,19,10
39,7,23,33,8,7,1,8,4,18,5,28,18,17,28,4,17,7,11,28,35,19,16,44,26,14,18,10,18,16,13,14,32,3,18,7,22,34,26,6,8,20,19,10
39,7,23,32,8,6,1,8,4,18,4,28,18,17,28,4,17,7,11,25,35,19,16,44,26,14,18,8,18,16,10,14,27,3,18,7,22,34,25,6,3,20,19,10
39,7,23,32,8,5,1,7,4,18,4,28,18,17,26,4,17,7,11,25,35,19,16,44,26,14,18,2,17,16,8,14,27,3,18,7,22,34,25,6,3,20,19,10
39,7,23,32,8,4,1,4,4,18,4,27,18,17,18,4,17,7,11,25,35,19,16,44,26,14,18,2,17,16,6,14,26,3,18,7,22,34,25,6,3,20,19,10
39,7,23,32,8,1,1,4,4,18,3,26,18,17,12,4,17,7,11,25,35,19,16,44,26,13,18,2,17,16,4,14,26,3,18,7,22,34,25,6,3,20,19,10
39,7,23,32,8,1,1,4,3,18,3,26,18,17,9,4,17,7,11,24,35,19,16,43,25,13,18,2,17,16,4,14,23,3,18,7,22,33,25,5,3,20,19,10
39,7,23,29,8,1,1,4,3,18,3,26,18,17,2,4,17,7,11,23,35,19,16,42,24,12,18,2,17,16,3,14,23,3,18,7,22,29,24,5,3,20,19,10
39,7,23,28,7,0,1,1,2,18,2,26,18,17,1,4,17,7,11,23,35,19,16,42,24,12,18,2,17,16,2,14,21,3,18,4,21,26,24,4,3,20,19,10
39,7,23,28,7,0,1,1,2,18,2,24,18,17,0,4,17,6,11,23,35,19,16,41,24,10,18,2,17,16,2,14,21,3,18,4,21,26,24,0,3,18,18,10
39,7,23,27,6,0,1,0,2,18,1,24,17,17,0,4,17,6,11,18,35,19,16,41,24,10,18,2,17,16,2,14,20,3,18,3,21,20,24,0,3,18,16,10
39,7,23,27,6,0,1,0,2,18,1,24,17,17,0,4,17,6,11,18,35,19,16,41,24,10,18,2,17,16,2,14,20,3,18,3,21,19,24,0,3,18,16,10
39,7,23,27,6,0,1,0,2,18,0,24,16,17,0,4,17,6,11,13,35,19,16,39,22,9,18,2,17,16,2,13,19,3,18,3,21,16,23,0,3,18,16,10
39,7,23,27,6,0,1,0,2,18,0,23,16,17,0,4,17,6,11,10,35,17,16,36,22,9,18,2,16,16,1,13,17,3,18,3,19,8,23,0,3,18,16,10
39,7,23,24,3,0,1,0,2,18,0,23,16,16,0,4,16,6,11,7,35,16,16,36,22,9,18,2,16,16,1,13,14,3,18,3,18,2,21,0,3,18,15,9
39,7,23,24,3,0,1,0,2,18,0,23,16,16,0,4,15,6,11,7,35,16,16,36,22,9,18,2,16,16,1,13,14,3,18,3,18,2,21,0,3,18,15,9
39,7,23,24,3,0,1,0,2,18,0,23,16,16,0,4,14,6,11,7,35,16,16,36,22,9,18,2,16,16,1,13,14,3,18,3,18,2,21,0,3,18,15,9
39,7,23,24,3,0,1,0,2,18,0,13,16,16,0,4,14,6,11,6,35,16,16,34,21,9,16,2,14,16,1,13,10,3,18,3,17,2,21,0,3,17,15,9
39,7,23,20,3,0,1,0,0,17,0,9,16,16,0,4,14,6,11,5,35,14,16,32,15,8,16,2,14,16,1,13,7,3,18,3,17,2,16,0,3,16,15,9
39,7,23,20,3,0,1,0,0,17,0,9,16,16,0,4,14,6,11,5,35,14,16,32,15,7,16,2,14,16,1,13,7,3,18,3,17,2,16,0,3,16,15,9
39,7,23,20,3,0,1,0,0,17,0,9,16,16,0,4,14,6,11,5,35,14,16,32,15,6,16,2,14,16,1,13,7,3,18,3,17,2,16,0,3,16,15,9
39,7,23,20,3,0,1,0,0,17,0,9,16,16,0,4,14,6,11,5,35,14,16,32,15,5,16,2,14,16,1,13,7,3,18,3,17,2,16,0,3,16,15,9
39,7,23,17,3,0,0,0,0,14,0,9,14,16,0,4,14,5,11,4,35,14,16,30,15,5,16,2,14,16,1,13,5,3,18,3,16,2,16,0,3,15,15,8
39,7,23,15,3,0,0,0,0,14,0,7,11,15,0,4,14,5,10,4,35,14,16,29,14,4,16,2,13,16,1,12,3,3,18,3,13,1,16,0,3,12,15,7
39,6,23,13,3,0,0,0,0,12,0,3,10,15,0,4,10,5,10,4,35,12,16,26,8,4,16,2,12,16,0,8,3,3,18,3,13,1,16,0,2,12,15,7
39,6,23,13,3,0,0,0,0,12,0,3,10,15,0,4,10,5,10,4,35,12,16,26,8,4,16,2,12,16,0,8,3,3,18,3,13,1,15,0,2,12,15,7
39,6,23,13,3,0,0,0,0,12,0,0,6,15,0,4,10,5,8,4,35,12,16,22,7,3,13,2,12,16,0,7,3,3,18,3,10,1,15,0,2,12,13,7
39,6,23,11,3,0,0,0,0,12,0,0,4,15,0,4,10,5,8,4,35,11,16,18,7,0,13,2,9,16,0,6,3,3,18,3,8,1,15,0,2,12,13,7
39,6,23,11,3,0,0,0,0,12,0,0,4,15,0,4,9,5,8,4,35,7,15,13,6,0,12,2,7,16,0,6,3,2,18,3,8,1,15,0,2,12,13,6
39,6,23,11,0,0,0,0,0,11,0,0,3,13,0,4,9,5,8,4,35,4,15,13,6,0,12,2,5,16,0,6,3,2,18,3,8,1,15,0,2,12,12,5
39,6,23,11,0,0,0,0,0,11,0,0,3,13,0,4,9,5,8,4,35,4,15,13,6,0,12,2,5,16,0,6,3,2,18,3,8,1,15,0,2,12,12,4
39,6,22,10,0,0,0,0,0,7,0,0,3,13,0,4,9,5,8,4,33,2,15,12,6,0,12,2,1,15,0,4,3,2,18,3,8,1,15,0,2,12,11,3
38,6,19,10,0,0,0,0,0,7,0,0,3,13,0,4,8,4,8,4,29,2,10,12,6,0,12,2,1,13,0,4,3,2,18,3,8,1,15,0,2,12,11,2
33,5,18,10,0,0,0,0,0,7,0,0,3,13,0,4,4,4,8,3,27,2,10,12,6,0,11,2,1,12,0,4,3,2,18,3,6,1,14,0,2,12,11,2
