Caswell Hall,Bronson House,Harkness House,Goddard House,Morriss Hall,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,New Pembroke #2,Champlin,Grad Center B,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Woolley,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Barbour Hall,111 Brown Street,Minden,Olney House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Mead House
43,7,17,30,3,12,13,11,10,11,4,19,19,21,32,10,30,19,8,20,51,29,17,14,6,44,9,17,28,19,18,18,12,52,5,18,20,24,41,24,13,28,11,5,10
43,7,17,30,3,12,13,11,10,11,4,19,19,21,31,10,29,16,8,20,50,29,17,14,6,44,9,17,26,19,18,18,12,51,5,18,19,24,38,24,13,26,11,5,10
43,7,17,29,3,12,13,9,10,11,4,19,19,21,31,10,29,16,8,20,47,29,17,14,6,44,9,16,25,19,18,18,12,48,5,18,18,24,37,24,13,23,11,5,10
43,7,17,29,3,12,12,8,10,11,4,19,19,21,31,10,29,16,8,20,45,29,17,14,6,42,9,15,21,19,18,17,12,47,5,18,16,24,37,24,13,19,11,5,10
43,7,17,29,3,12,9,7,10,11,4,19,19,21,29,9,29,16,8,20,42,29,17,14,6,42,9,15,17,19,18,17,12,44,5,18,13,23,37,24,11,19,11,5,10
43,7,17,29,3,10,1,7,10,11,4,19,19,21,28,8,29,16,8,20,40,29,17,14,6,41,9,15,15,19,18,17,12,42,5,18,13,23,37,24,11,16,11,5,10
43,7,17,29,3,9,1,7,10,11,4,19,19,21,24,6,29,16,8,20,38,29,17,14,6,40,9,15,10,19,18,16,12,42,5,18,13,22,36,24,11,10,11,5,10
43,7,17,29,3,4,1,6,10,11,4,19,19,21,23,6,28,15,8,20,38,29,17,14,6,40,9,15,8,19,18,16,12,39,5,18,12,22,34,24,11,8,11,5,10
43,7,17,29,3,2,1,6,10,11,4,19,19,21,23,6,28,15,8,20,34,29,17,14,6,39,9,15,5,19,18,16,12,33,5,18,11,22,34,24,10,6,11,5,10
43,7,17,29,3,1,1,6,10,11,3,19,19,21,22,6,28,15,8,20,33,29,17,14,6,38,9,15,4,19,18,12,12,29,5,18,11,22,34,24,6,2,11,5,10
43,7,17,29,3,1,1,6,10,11,3,19,19,21,21,6,28,15,8,20,33,29,17,14,6,38,9,15,4,19,18,12,12,29,5,18,11,22,34,24,6,2,11,5,10
43,7,17,29,3,1,1,6,9,11,3,19,19,20,17,6,28,13,8,20,33,29,17,14,6,38,9,15,1,19,18,12,12,29,5,18,9,22,32,22,4,2,11,5,10
43,7,17,29,3,0,1,5,9,11,3,19,19,20,12,6,28,13,8,20,33,29,17,14,6,38,8,13,1,19,18,6,12,29,5,18,9,22,32,22,3,2,11,5,10
43,7,17,29,3,0,1,5,9,11,3,19,19,20,11,6,28,13,8,20,33,29,17,14,6,38,8,13,1,19,18,6,12,29,5,18,9,22,32,22,3,2,11,5,10
43,7,17,29,3,0,1,5,9,11,3,19,19,20,10,6,28,13,8,20,33,29,17,14,6,38,8,13,1,19,18,6,12,29,5,18,9,22,32,22,3,2,11,5,10
43,7,17,28,3,0,1,4,9,11,3,19,19,20,8,6,27,13,8,20,33,29,17,14,6,38,8,12,1,19,18,4,12,29,5,18,5,22,32,20,1,2,11,5,10
43,7,17,25,3,0,0,1,9,11,3,19,19,20,4,6,23,13,8,20,33,29,17,14,6,35,8,12,1,19,18,2,12,29,5,18,5,22,32,20,0,2,11,5,10
43,7,17,25,3,0,0,0,9,11,3,19,19,20,2,6,21,13,8,20,31,29,17,14,6,34,8,12,1,19,18,2,12,28,5,18,3,22,29,20,0,2,11,5,10
43,7,17,25,3,0,0,0,9,10,3,19,19,20,0,6,20,13,8,20,30,29,17,14,6,34,7,10,1,19,18,2,12,27,5,18,2,22,28,19,0,2,10,5,10
43,7,17,19,3,0,0,0,9,10,2,19,19,20,0,6,16,12,8,19,27,29,17,14,6,34,7,8,1,17,18,2,11,24,5,18,2,22,28,19,0,2,10,5,10
43,7,17,11,3,0,0,0,9,10,2,19,19,20,0,6,15,12,8,19,26,29,17,14,6,32,7,8,1,17,18,2,11,22,5,18,2,22,26,16,0,2,10,3,10
43,7,17,7,3,0,0,0,9,10,1,19,19,20,0,6,14,11,8,18,22,29,16,14,6,32,7,8,1,17,18,2,11,19,5,18,2,22,22,16,0,2,10,3,10
43,7,17,7,3,0,0,0,8,10,1,19,19,20,0,6,14,11,8,18,17,29,16,14,6,32,7,7,1,17,18,2,11,14,5,18,2,20,18,16,0,2,10,3,10
43,7,17,7,3,0,0,0,8,10,0,18,19,19,0,6,11,7,8,16,17,29,16,14,6,31,7,1,1,17,18,1,10,13,5,18,2,20,16,16,0,2,10,3,10
43,7,17,7,3,0,0,0,8,10,0,18,19,17,0,6,3,7,8,16,9,29,16,14,6,31,7,0,1,17,18,1,10,10,4,18,2,19,14,16,0,2,10,1,10
43,7,17,7,3,0,0,0,8,10,0,18,19,16,0,6,3,7,8,16,9,29,16,14,6,31,7,0,1,17,18,1,10,10,4,18,2,19,14,16,0,2,10,1,10
43,7,17,7,3,0,0,0,8,10,0,18,18,15,0,6,0,7,8,14,4,29,16,14,6,28,7,0,1,17,18,0,10,6,4,18,2,19,11,16,0,2,10,1,10
43,7,17,7,3,0,0,0,8,10,0,18,17,11,0,6,0,6,8,14,4,29,13,14,6,25,7,0,1,11,18,0,10,4,4,18,2,18,4,16,0,2,10,1,10
43,7,17,7,3,0,0,0,8,10,0,18,17,11,0,6,0,6,8,14,4,29,13,14,6,25,7,0,1,11,18,0,10,4,4,18,2,18,3,16,0,2,10,1,10
43,7,17,7,3,0,0,0,1,9,0,16,17,0,0,6,0,4,8,14,4,29,13,14,6,21,7,0,1,5,18,0,7,3,4,18,2,17,3,16,0,2,10,1,10
43,7,17,7,3,0,0,0,0,4,0,15,17,0,0,5,0,2,8,14,3,29,10,13,6,19,7,0,1,5,18,0,6,3,4,18,2,13,2,16,0,2,9,1,6
43,3,17,7,3,0,0,0,0,4,0,13,17,0,0,5,0,1,8,14,3,29,7,13,6,16,7,0,1,1,18,0,1,3,4,18,2,12,1,16,0,2,9,1,5
43,2,17,7,3,0,0,0,0,4,0,13,15,0,0,5,0,0,3,14,3,29,7,11,6,15,7,0,1,0,18,0,0,3,3,18,2,11,1,16,0,2,9,1,1
43,1,17,7,3,0,0,0,0,3,0,12,11,0,0,5,0,0,3,14,2,29,7,9,6,14,7,0,1,0,18,0,0,3,1,18,2,10,1,16,0,2,9,1,1
43,0,17,7,3,0,0,0,0,2,0,12,10,0,0,5,0,0,3,14,1,29,7,8,6,14,7,0,1,0,18,0,0,1,1,18,2,9,1,15,0,2,9,1,0
43,0,17,7,3,0,0,0,0,2,0,11,10,0,0,4,0,0,3,14,1,29,6,8,6,13,7,0,1,0,18,0,0,1,1,18,2,9,0,15,0,2,9,1,0
43,0,16,5,3,0,0,0,0,2,0,11,10,0,0,4,0,0,3,14,1,25,6,7,6,13,7,0,1,0,18,0,0,1,1,18,2,8,0,15,0,2,9,1,0
41,0,14,5,1,0,0,0,0,2,0,11,9,0,0,4,0,0,3,14,1,23,6,7,6,13,7,0,1,0,17,0,0,0,1,18,2,7,0,15,0,2,9,1,0
38,0,11,5,0,0,0,0,0,2,0,10,9,0,0,2,0,0,3,13,1,18,6,7,6,12,7,0,1,0,12,0,0,0,1,18,2,5,0,15,0,2,9,1,0
38,0,11,5,0,0,0,0,0,2,0,10,9,0,0,2,0,0,3,13,1,18,6,7,6,12,7,0,1,0,11,0,0,0,1,18,2,5,0,15,0,2,9,1,0
23,0,11,5,0,0,0,0,0,2,0,9,9,0,0,2,0,0,3,13,1,18,6,7,6,12,7,0,1,0,7,0,0,0,1,15,2,4,0,15,0,2,8,1,0
22,0,11,5,0,0,0,0,0,2,0,9,9,0,0,2,0,0,3,13,1,18,6,7,6,12,7,0,1,0,7,0,0,0,1,15,2,4,0,15,0,2,8,1,0
8,0,10,5,0,0,0,0,0,2,0,7,9,0,0,2,0,0,3,13,1,18,5,7,4,11,7,0,1,0,5,0,0,0,1,15,1,3,0,15,0,2,7,1,0
6,0,8,5,0,0,0,0,0,2,0,5,8,0,0,2,0,0,3,13,0,18,5,7,4,11,7,0,1,0,5,0,0,0,1,9,1,3,0,15,0,2,7,1,0
6,0,8,5,0,0,0,0,0,2,0,5,8,0,0,2,0,0,3,13,0,18,5,7,4,11,7,0,1,0,5,0,0,0,1,8,1,3,0,15,0,2,7,1,0
3,0,5,5,0,0,0,0,0,2,0,5,3,0,0,2,0,0,3,13,0,18,3,7,4,10,7,0,1,0,5,0,0,0,1,6,1,1,0,15,0,2,7,1,0
0,0,4,5,0,0,0,0,0,2,0,4,3,0,0,1,0,0,3,13,0,6,3,6,2,8,7,0,1,0,5,0,0,0,1,5,1,1,0,15,0,2,7,1,0
0,0,4,5,0,0,0,0,0,2,0,4,3,0,0,1,0,0,3,13,0,5,3,6,2,8,7,0,1,0,5,0,0,0,1,5,1,1,0,15,0,2,7,1,0
0,0,4,5,0,0,0,0,0,2,0,4,3,0,0,1,0,0,3,13,0,4,3,6,2,8,7,0,1,0,5,0,0,0,1,5,1,1,0,15,0,2,7,1,0
0,0,0,5,0,0,0,0,0,2,0,3,2,0,0,1,0,0,3,10,0,4,1,5,2,4,6,0,1,0,5,0,0,0,1,3,1,0,0,13,0,2,6,1,0
0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,9,0,3,0,4,2,3,4,0,1,0,5,0,0,0,1,0,1,0,0,10,0,2,6,1,0
0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,8,0,3,0,4,0,0,2,0,1,0,1,0,0,0,1,0,0,0,0,5,0,2,2,1,0
