Caswell Hall,Bronson House,Harkness House,Goddard House,Morriss Hall,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Champlin,Woolley,Grad Center C,Grad Center A,Metcalf,Plantations House,Grad Center B,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,New Pembroke #4,Barbour Hall,111 Brown Street,Mead House,Olney House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Minden
42,7,19,32,3,14,14,11,10,5,29,18,16,53,10,18,19,8,22,48,33,23,13,6,12,11,17,29,17,16,20,11,50,4,18,20,26,31,24,13,27,6,8,53
42,7,19,32,3,14,14,11,10,5,29,18,16,52,10,18,18,8,22,47,33,23,13,6,12,11,17,28,17,16,20,11,48,4,18,19,26,31,24,13,23,6,8,52
42,7,19,32,3,14,14,11,10,5,29,18,16,51,8,18,17,8,22,45,33,23,13,6,12,11,17,28,17,16,20,11,46,4,18,18,26,31,24,13,22,6,8,51
42,7,19,32,3,14,14,11,10,5,29,17,16,51,8,18,16,8,22,43,33,23,13,6,12,11,17,27,17,16,19,11,43,4,18,18,26,31,24,13,19,6,8,49
42,7,19,32,3,14,14,11,10,5,28,17,16,50,8,18,14,8,22,40,33,23,13,6,12,11,17,22,17,16,19,11,39,4,18,16,26,31,24,13,12,6,8,46
42,7,19,32,3,13,13,11,10,5,28,17,16,45,8,18,14,8,22,39,33,23,13,6,12,11,15,15,17,16,17,11,39,4,18,16,26,30,24,13,10,6,8,44
42,7,19,32,3,11,11,11,10,5,28,17,16,40,8,18,14,8,22,33,33,22,13,6,12,11,14,8,17,16,17,11,37,4,18,15,25,29,24,12,10,6,8,43
42,7,19,32,3,11,9,11,10,4,28,17,16,40,8,18,14,8,22,33,33,22,13,6,12,11,12,3,17,16,17,11,33,4,18,10,25,29,24,12,3,6,8,43
42,7,19,32,3,11,9,11,10,4,28,17,16,40,8,18,14,8,22,33,33,22,13,6,12,11,12,3,17,16,17,11,32,4,18,10,25,29,24,12,3,6,8,43
42,7,19,32,3,11,9,11,10,4,28,17,16,40,8,18,14,8,22,33,33,22,13,6,12,11,12,3,17,16,17,11,31,4,18,10,25,29,24,12,3,6,8,43
42,7,19,32,3,11,7,11,10,4,28,17,16,37,8,18,11,8,22,33,33,18,13,6,12,11,12,3,17,16,17,11,28,4,18,10,24,28,24,10,1,6,8,43
42,7,19,31,3,11,5,9,10,3,28,17,16,37,7,18,11,8,22,31,33,17,13,6,12,11,12,2,17,16,16,11,26,4,18,10,23,28,24,10,0,6,8,42
42,7,19,31,3,11,5,7,9,3,22,17,16,30,7,18,11,8,22,30,33,17,13,6,12,10,12,1,17,16,15,11,26,4,18,8,23,28,24,10,0,6,8,42
42,7,19,31,3,11,5,5,9,3,20,17,16,28,7,18,11,8,22,29,33,17,13,6,12,10,9,1,17,16,15,11,26,4,18,5,22,23,24,10,0,6,8,42
