res_hall,remaining,total,num_picks
Caswell Hall,44,44,1
Drop to 414,1,1,1
Harkness House,9,9,1
Hegeman,24,24,1
Drop to 29,1,1,1
Goddard House,30,30,1
Morriss Hall,4,4,1
Young Orchard #4,13,13,1
Young Orchard #2,12,12,1
Hope College,39,39,1
Grad center D,1,1,1
New Pembroke #3,9,9,1
Drop to 488,1,1,1
Grad Center D,102,102,1
No Show,62,62,1
Woolley,26,27,1
Champlin,5,5,1
New Pembroke #4,21,21,1
Drop to 179,3,3,1
Drop to 365,1,1,1
Plantations House,9,9,1
Grad Center B,17,17,1
Drop to 151,1,1,1
Drop to 402,1,1,1
Slater Hall,15,21,1
Drop to 284,1,1,1
Drop to 413,1,1,1
Drop to 421,1,1,1
Chapin House,15,15,1
Gregorian Quad A,76,76,1
Young Orchard #10,10,10,1
Drop to 248,1,1,1
Grad Center A,16,16,1
Barbour Hall,14,14,1
111 Brown Street,6,6,1
Minden,48,55,1
Olney House,7,7,1
Littlefield Hall,24,24,1
Pass,77,77,1
Emery,16,19,1
Drop to 215,1,1,1
Drop to 139,1,1,1
Drop to 554,1,1,1
Grad Center d,2,2,1
New Pembroke #1,17,17,1
Drop to 398,1,1,1
Drop to 692,1,1,1
Gregorian Quad B,53,53,1
Drop to 377,1,1,1
Drop to 145,1,1,1
Drop to 441,2,2,1
Barbour Hall Apartments,27,27,1
Drop to 415,3,3,1
Grad Center C,17,17,1
Drop to 394,1,1,1
Drop to 261,1,1,1
315 Thayer,18,19,1
Sears House,16,16,1
Diman House,12,12,1
Drop to 564,1,1,1
Marcy House,14,14,1
Machado,12,12,1
Drop to 587,1,1,1
Drop to 474,1,1,1
Drop to 304,1,1,1
Drop to 617,1,1,1
Caswell Hall,44,44,2
Drop to 414,1,1,2
Harkness House,9,9,2
Hegeman,24,24,2
Drop to 29,0,1,2
Goddard House,29,30,2
Morriss Hall,4,4,2
Young Orchard #4,13,13,2
Young Orchard #2,12,12,2
Hope College,39,39,2
Grad center D,1,1,2
New Pembroke #3,8,9,2
Drop to 488,1,1,2
Grad Center D,102,102,2
No Show,62,62,2
Woolley,24,27,2
Champlin,5,5,2
New Pembroke #4,19,21,2
Drop to 179,3,3,2
Drop to 365,1,1,2
Plantations House,9,9,2
Grad Center B,17,17,2
Drop to 151,1,1,2
Drop to 402,1,1,2
Slater Hall,15,21,2
Drop to 284,1,1,2
Drop to 413,1,1,2
Drop to 421,1,1,2
Chapin House,15,15,2
Gregorian Quad A,76,76,2
Young Orchard #10,10,10,2
Drop to 248,1,1,2
Grad Center A,16,16,2
