Number,Residence Hall,Room,Occupancy,Time
1,West Andrews,257,1,4/2/09 6:06:42
2,Drop to 113,,,4/2/09 6:07:34
3,Minden,807,1,4/2/09 6:07:52
4,Slater Hall,305,1,4/2/09 6:08:27
5,Minden,309,1,4/2/09 6:08:43
5,Minden,409,1,4/2/09 6:08:45
6,Minden,609,1,4/2/09 6:09:03
6,Gregorian Quad B,402D,1,4/2/09 6:09:15
7,Gregorian Quad A,310,5,4/2/09 6:09:31
8,Hegeman,B206,3,4/2/09 6:10:02
8,Hegeman,B207,2,4/2/09 6:10:03
8,Hegeman,A101,3,4/2/09 6:10:05
9,Wayland House,223,1,4/2/09 6:10:33
10,West Andrews,303,1,4/2/09 6:10:51
11,Minden,709,1,4/2/09 6:11:10
12,Slater Hall,205,1,4/2/09 6:11:22
13,No Show,,,4/2/09 6:11:42
14,Gregorian Quad A,409A,1,4/2/09 6:12:01
15,Minden,209,1,4/2/09 6:12:18
16,Metcalf,121,1,4/2/09 6:12:36
17,Gregorian Quad B,405C,1,4/2/09 6:12:48
18,Minden,605,1,4/2/09 6:12:58
19,Minden,205,1,4/2/09 6:13:11
20,Metcalf,301,1,4/2/09 6:13:51
21,Minden,705,1,4/2/09 6:14:09
22,Minden,805,1,4/2/09 6:14:21
23,No Show,,,4/2/09 6:14:40
24,Emery,120,1,4/2/09 6:14:56
25,West Andrews,455,1,4/2/09 6:15:11
25,West Andrews,457,1,4/2/09 6:16:16
26,No Show,,,4/2/09 6:16:38
27,Slater Hall,307,1,4/2/09 6:16:47
28,Metcalf,114,1,4/2/09 6:17:06
29,Slater Hall,306,1,4/2/09 6:17:28
30,Barbour Hall,104,1,4/2/09 6:17:49
31,Metcalf,401,1,4/2/09 6:18:05
32,Miller,119,1,4/2/09 6:18:20
33,Metcalf,300,1,4/2/09 6:18:36
34,West Andrews,219,1,4/2/09 6:18:53
35,Gregorian Quad B,401C,1,4/2/09 6:19:12
36,East Andrews,420,1,4/2/09 6:19:25
37,Grad Center C,410B,2,4/2/09 6:19:39
38,Metcalf,411,1,4/2/09 6:19:56
39,Metcalf,304,1,4/2/09 6:20:08
40,East Andrews,306,1,4/2/09 6:20:23
41,No Show,,,4/2/09 6:20:43
42,No Show,,,4/2/09 6:20:57
43,Gregorian Quad A,408B,1,4/2/09 6:21:11
44,Hegeman,E114,1,4/2/09 6:21:57
45,Gregorian Quad B,405B,1,4/2/09 6:22:11
46,Slater Hall,105,1,4/2/09 6:22:26
47,Gregorian Quad A,410A,1,4/2/09 6:22:40
48,No Show,,,4/2/09 6:23:00
49,Minden,812,2,4/2/09 6:23:14
50,West Andrews,217,1,4/2/09 6:23:34
51,Young Orchard #4,330,4,4/2/09 6:23:50
52,Gregorian Quad B,402A,1,4/2/09 6:24:09
53,Wayland House,323,1,4/2/09 6:24:34
54,Wayland House,322,1,4/2/09 6:24:49
55,Gregorian Quad B,405F,1,4/2/09 6:25:14
56,Gregorian Quad B,403A,1,4/2/09 6:25:36
57,Slater Hall,206,1,4/2/09 6:28:17
58,Gregorian Quad A,411,3,4/2/09 6:28:41
59,Slater Hall,106,1,4/2/09 6:28:59
60,No Show,,,4/2/09 6:29:20
61,Young Orchard #2,310,4,4/2/09 6:29:57
61,Gregorian Quad B,401B,1,4/2/09 6:30:00
62,Gregorian Quad A,408C,1,4/2/09 6:30:14
63,East Andrews,206,1,4/2/09 6:30:35
64,Gregorian Quad A,408E,1,4/2/09 6:30:51
65,Gregorian Quad A,409D,1,4/2/09 6:31:14
66,Metcalf,116,1,4/2/09 6:31:30
67,East Andrews,222,1,4/2/09 6:31:42
68,Gregorian Quad A,210,5,4/2/09 6:31:57
69,East Andrews,322,1,4/2/09 6:32:14
70,New Pembroke #4,227,1,4/2/09 6:32:27
71,East Andrews,256,1,4/2/09 6:32:43
72,Barbour Hall Apartments,340,4,4/2/09 6:32:57
73,East Andrews,460,1,4/2/09 6:33:09
74,Gregorian Quad A,313,4,4/2/09 6:33:24
75,Metcalf,416,1,4/2/09 6:33:41
76,East Andrews,422,1,4/2/09 6:33:55
77,Young Orchard #2,410,4,4/2/09 6:34:15
77,Young Orchard #2,420,4,4/2/09 6:34:17
78,East Andrews,208,1,4/2/09 6:34:28
79,Barbour Hall,204,1,4/2/09 6:34:46
80,Metcalf,309,1,4/2/09 6:35:16
81,Gregorian Quad B,402F,1,4/2/09 6:35:37
81,Gregorian Quad B,402B,1,4/2/09 6:35:39
81,Gregorian Quad B,403F,1,4/2/09 6:35:43
81,Gregorian Quad B,405A,1,4/2/09 6:35:56
81,Gregorian Quad B,403C,1,4/2/09 6:36:02
82,Hegeman,A202,1,4/2/09 6:36:33
83,East Andrews,458,1,4/2/09 6:36:47
84,Young Orchard #2,340,4,4/2/09 6:37:00
85,Hegeman,A102,1,4/2/09 6:37:14
86,Minden,301,3,4/2/09 6:37:33
87,Young Orchard #10,210,4,4/2/09 6:37:57
87,Young Orchard #10,240,4,4/2/09 6:37:59
88,West Andrews,419,1,4/2/09 6:38:10
89,New Pembroke #2,104,1,4/2/09 6:38:28
90,No Show,,,4/2/09 6:38:44
91,Young Orchard #4,310,4,4/2/09 6:39:00
91,Young Orchard #4,320,4,4/2/09 6:39:01
92,Young Orchard #2,330,4,4/2/09 6:39:17
93,No Show,,,4/2/09 6:39:34
94,Metcalf,311,1,4/2/09 6:39:52
94,Metcalf,313,1,4/2/09 6:39:54
95,Gregorian Quad A,307,5,4/2/09 6:40:10
