Caswell Hall,Olney House,Harkness House,Goddard House,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Champlin,Woolley,Grad Center C,New Pembroke #4,Metcalf,Plantations House,Grad Center B,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Diman House,Grad Center A,Barbour Hall,111 Brown Street,Mead House,Bronson House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Gregorian Quad B,Everett House,Grad Center D,Miller,Barbour Hall Apartments,Hegeman,Sears House,Young Orchard #10,East Andrews,Marcy House,Machado,Minden,Morris Hall
42,6,18,29,13,12,10,10,5,30,18,23,33,10,20,17,11,30,52,25,18,16,6,13,10,21,29,19,18,19,14,50,5,19,3,29,38,33,13,28,11,12,51,4
42,6,18,29,13,12,9,10,5,30,18,23,31,10,20,17,11,30,52,25,18,16,6,13,10,21,25,19,18,19,14,48,5,19,3,29,37,33,13,27,11,12,49,4
42,6,18,29,13,10,9,10,5,30,18,23,29,10,20,17,11,30,50,25,18,16,6,13,10,20,24,19,18,18,14,44,5,19,3,29,37,33,13,24,11,12,49,4
42,6,18,29,13,10,9,10,5,30,18,23,25,9,20,17,11,30,50,25,18,16,6,13,10,20,21,19,18,18,14,42,5,19,3,28,37,33,13,19,11,12,49,3
42,6,18,29,13,10,9,10,5,30,18,23,22,9,20,17,11,29,45,25,18,16,6,13,10,20,20,19,18,16,14,38,5,19,3,27,37,33,13,18,11,12,48,3
42,6,18,29,12,6,9,10,5,30,18,23,18,8,19,17,11,29,43,25,18,16,6,13,10,20,18,19,18,16,14,37,5,19,3,26,36,33,13,18,11,12,48,3
42,6,18,29,12,6,9,10,5,30,18,23,18,8,19,17,11,29,42,25,18,16,6,13,10,20,18,19,18,16,14,37,5,19,3,26,36,33,13,18,11,12,48,3
42,6,18,29,9,5,9,10,5,30,18,23,14,8,19,17,11,29,41,25,18,16,6,13,10,19,18,19,18,16,14,34,5,19,3,26,36,33,11,18,11,12,48,3
42,6,18,29,7,3,7,10,5,30,18,23,13,8,19,17,11,29,36,25,18,16,6,13,10,19,14,19,18,16,14,30,5,19,3,26,36,33,9,18,11,12,47,3
42,6,18,29,7,3,7,10,5,30,18,23,13,8,19,17,11,29,36,25,18,16,6,13,10,19,14,19,18,16,14,29,5,19,3,26,36,33,9,18,11,12,47,3
42,6,18,29,3,3,7,10,5,30,18,23,11,8,19,17,11,29,34,25,18,16,6,13,10,19,14,19,18,14,14,28,5,19,3,26,36,33,9,13,11,12,46,3
42,6,18,29,3,3,7,10,5,30,18,23,11,8,19,17,11,29,34,25,18,16,6,13,10,19,13,19,18,14,14,28,5,19,3,26,36,33,9,13,11,12,46,3
42,6,18,29,3,3,7,10,5,30,18,23,11,8,19,17,11,29,34,25,18,16,6,13,10,19,12,19,18,14,14,28,5,19,3,26,36,33,9,13,11,12,46,3
42,6,18,29,3,2,7,10,4,29,18,23,11,7,19,17,11,29,31,25,18,16,6,13,10,19,12,19,18,14,14,27,5,19,3,26,36,32,6,11,11,12,46,3
42,6,18,29,2,2,3,10,4,29,18,23,11,5,19,17,11,29,30,25,18,16,6,13,10,19,8,19,18,13,14,24,5,19,3,26,36,31,6,9,11,12,46,3
42,6,18,29,2,2,2,10,4,29,18,23,11,5,19,17,11,29,30,25,18,16,6,13,10,19,8,19,18,13,14,24,5,19,3,26,36,31,6,9,11,12,46,3
42,6,18,29,1,2,1,10,4,29,18,22,8,5,19,17,11,29,28,25,18,16,6,13,10,19,3,19,18,13,14,24,5,19,3,26,36,31,6,8,11,12,46,3
42,6,18,29,1,2,1,10,4,29,18,22,8,5,19,17,11,29,28,25,18,16,6,13,10,19,2,19,18,13,14,24,5,19,3,26,36,31,6,8,11,12,46,3
42,6,18,29,1,2,1,10,3,28,18,22,2,5,19,17,11,29,27,25,18,16,6,13,9,19,2,19,18,13,14,22,5,19,3,26,35,31,6,4,11,11,45,3
42,6,18,29,1,2,1,10,3,28,18,21,1,5,19,17,11,29,25,25,18,16,6,12,9,18,1,19,18,12,14,20,5,19,3,26,35,30,6,2,11,11,45,3
42,6,18,29,1,2,0,10,0,28,18,21,1,5,19,17,11,29,24,25,18,16,6,12,9,15,1,19,18,10,14,20,5,19,3,26,35,29,4,2,11,11,43,3
42,6,18,29,1,2,0,10,0,28,18,21,1,5,19,17,11,29,24,25,18,16,6,12,9,15,1,19,18,9,14,20,5,19,3,26,35,29,4,2,11,11,43,3
42,6,18,29,1,2,0,10,0,28,18,21,1,5,19,16,10,29,21,25,18,16,6,12,9,15,1,17,18,8,13,18,5,19,3,26,34,28,3,2,11,11,42,3
42,6,18,29,0,2,0,10,0,28,18,21,1,5,19,16,10,29,18,25,18,16,6,12,9,13,1,17,18,7,13,16,5,19,2,25,31,26,2,2,11,11,42,3
42,6,18,28,0,2,0,10,0,28,18,20,1,5,19,16,10,29,16,25,18,16,6,12,9,11,1,17,18,5,13,14,5,19,2,25,28,26,1,2,11,9,39,3
42,6,18,28,0,2,0,10,0,28,18,20,1,5,19,16,10,29,15,25,18,16,6,12,9,11,1,17,18,5,13,14,5,19,2,25,28,26,1,2,11,9,39,3
42,6,18,26,0,2,0,10,0,27,18,20,1,5,19,16,10,29,13,25,18,16,6,12,9,10,1,17,18,4,13,11,5,19,2,25,27,26,0,2,11,8,37,3
42,6,18,25,0,0,0,10,0,27,18,20,1,5,19,15,9,29,9,25,18,16,6,12,9,10,1,17,18,2,12,10,5,19,2,25,22,26,0,2,11,8,34,3
42,6,18,25,0,0,0,10,0,27,18,20,1,5,19,15,9,29,3,25,18,16,6,12,9,10,1,17,18,1,12,7,5,19,2,23,20,23,0,2,11,8,31,3
42,6,18,20,0,0,0,10,0,22,17,20,1,5,19,14,9,28,3,25,18,16,6,11,9,6,1,15,18,1,12,3,5,19,2,23,14,23,0,2,11,8,31,3
42,6,18,18,0,0,0,10,0,18,16,20,1,5,18,14,9,28,3,25,18,16,6,11,9,5,1,11,18,1,8,3,5,19,2,22,10,22,0,2,11,7,27,2
42,6,18,18,0,0,0,10,0,17,16,20,1,5,18,14,9,28,3,25,18,16,6,11,9,5,1,11,18,1,8,3,5,19,2,22,10,22,0,2,11,7,27,2
42,6,18,18,0,0,0,10,0,16,16,20,1,5,18,14,9,28,3,25,18,16,6,11,9,5,1,11,18,1,8,3,5,19,2,22,10,22,0,2,11,7,27,2
42,6,18,18,0,0,0,10,0,15,16,20,1,5,18,14,9,28,3,25,18,16,6,11,9,5,1,11,18,1,8,3,5,19,2,22,10,22,0,2,11,7,27,2
42,6,18,16,0,0,0,10,0,11,16,20,1,5,18,14,9,27,3,25,17,16,6,10,9,5,1,4,18,1,7,3,5,19,2,20,4,22,0,2,11,7,25,2
42,6,18,11,0,0,0,10,0,10,16,20,1,1,18,14,9,27,3,25,17,16,6,9,9,1,1,4,18,1,7,3,5,19,2,20,2,20,0,2,11,7,21,2
42,6,18,11,0,0,0,10,0,10,16,20,1,1,18,14,9,27,3,25,17,16,6,8,9,1,1,4,18,1,7,3,5,19,2,20,2,20,0,2,11,7,21,2
42,6,18,11,0,0,0,10,0,10,16,20,1,1,18,14,9,27,3,25,17,16,6,7,9,1,1,4,18,1,7,3,5,19,2,20,2,20,0,2,11,7,21,2
42,6,18,11,0,0,0,10,0,10,16,20,1,1,18,14,9,27,3,25,17,16,6,6,9,1,1,4,18,1,7,3,5,19,2,20,2,20,0,2,11,7,21,2
42,6,18,9,0,0,0,9,0,7,16,20,1,1,18,14,9,23,3,25,15,16,6,3,6,0,1,1,18,1,4,3,2,19,2,19,2,19,0,2,11,7,21,2
42,6,18,9,0,0,0,5,0,6,16,20,1,1,17,12,5,19,3,25,14,16,6,3,6,0,1,1,18,0,2,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,9,0,0,0,5,0,6,16,20,1,1,17,12,5,19,3,25,14,16,6,3,6,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,9,0,0,0,5,0,6,16,20,1,1,17,12,5,19,3,25,14,16,6,3,5,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
42,6,18,9,0,0,0,5,0,6,16,20,1,1,17,12,5,19,3,25,14,16,6,3,4,0,1,1,18,0,1,3,2,19,2,18,2,19,0,2,11,7,19,2
