Caswell Hall,Bronson House,Harkness House,Goddard House,New Pembroke #3,Young Orchard #4,Young Orchard #2,Hope College,Morriss Hall,New Pembroke #2,Champlin,Grad Center B,Grad Center C,Grad Center A,Metcalf,Plantations House,Woolley,Diman House,Slater Hall,Jameson House,Chapin House,Gregorian Quad A,Young Orchard #10,Gregorian Quad B,Barbour Hall,111 Brown Street,Minden,Olney House,Emery,West Andrews,Poland House,New Pembroke #1,Wayland House,Archibald House,Everett House,Grad Center D,Barbour Hall Apartments,Hegeman,Sears House,New Pembroke #4,East Andrews,Marcy House,Machado,Mead House
40,8,22,35,10,14,13,12,3,19,7,18,18,17,45,10,30,28,21,11,16,50,13,51,16,6,56,15,14,25,18,17,14,13,6,19,29,39,25,22,31,15,10,8
40,8,22,35,10,14,13,12,3,19,7,18,18,17,43,9,30,28,19,11,16,48,13,49,15,6,50,15,13,24,18,17,14,13,6,19,29,39,25,22,31,15,10,8
40,8,22,35,10,14,13,12,3,19,7,18,18,17,38,9,30,28,19,11,16,45,13,46,15,6,50,15,12,22,18,17,13,13,6,19,29,39,25,22,30,15,10,8
40,8,22,35,10,14,13,12,3,19,7,18,18,17,34,8,30,28,17,11,16,41,13,40,15,6,50,15,12,22,17,17,11,13,6,19,27,39,25,22,30,15,10,8
40,8,22,35,10,14,8,12,3,19,7,18,18,17,34,8,29,28,16,11,16,38,13,32,15,6,48,15,12,22,17,17,10,13,6,19,27,37,25,22,30,15,10,8
40,8,22,35,10,14,7,12,3,19,7,18,18,17,31,8,29,28,16,11,16,34,12,31,15,6,48,15,11,19,17,17,10,13,6,19,26,36,25,22,28,15,10,8
40,8,22,35,10,14,3,12,3,19,7,18,18,17,28,8,29,28,16,11,16,31,12,30,15,6,44,15,6,19,17,17,10,13,6,19,26,36,24,22,26,15,10,8
40,8,22,35,10,14,3,12,3,19,7,18,18,17,28,8,29,28,16,11,16,31,12,30,15,6,44,15,6,19,17,17,10,13,6,19,26,36,24,22,25,15,10,8
40,8,22,35,10,14,1,12,3,19,7,18,18,17,27,8,29,28,16,11,16,26,12,29,15,6,44,15,6,17,17,17,10,13,6,19,26,34,24,22,25,15,10,8
40,8,22,34,10,11,1,12,3,19,7,18,18,17,21,8,29,28,16,11,16,25,12,28,15,6,44,15,6,14,17,17,10,13,6,19,26,34,22,22,24,14,10,8
40,8,22,34,10,9,1,12,3,19,7,18,18,17,20,8,29,28,16,11,16,25,12,25,15,6,43,15,6,12,17,17,10,13,6,19,26,34,22,22,19,14,10,8
40,8,22,34,10,9,1,12,3,19,7,18,18,17,20,8,29,28,16,11,16,25,12,25,15,6,43,15,6,11,17,17,10,13,6,19,26,34,22,22,19,14,10,8
40,8,22,34,10,8,1,11,3,19,7,18,18,17,18,7,29,28,16,11,16,25,10,24,15,6,43,15,6,9,17,17,10,13,6,19,26,34,20,22,18,14,10,8
40,8,22,30,10,8,1,11,3,19,7,18,18,17,15,7,28,28,16,11,16,25,9,24,15,6,43,15,6,7,16,17,10,13,6,19,26,34,20,22,16,14,10,8
40,8,22,30,10,8,1,11,3,19,7,18,18,17,15,7,28,28,16,11,16,25,8,24,15,6,43,15,6,7,16,17,10,13,6,19,26,34,20,22,16,14,10,8
40,8,22,30,10,8,1,11,3,19,7,18,18,17,15,7,28,28,16,11,16,25,7,24,15,6,43,15,6,7,16,17,10,13,6,19,26,34,20,22,16,14,10,8
40,8,22,30,9,6,1,11,3,19,7,18,18,17,13,7,28,28,16,11,16,24,5,21,15,6,43,15,6,7,16,17,8,13,6,19,26,34,20,22,12,14,10,8
40,8,21,29,9,6,0,11,3,19,7,18,18,17,13,7,27,28,16,11,16,22,5,20,15,6,42,15,6,6,14,17,8,13,5,19,26,33,20,22,11,14,10,8
40,8,21,28,9,6,0,10,3,19,7,18,18,17,10,7,27,28,16,11,14,20,4,20,15,6,42,11,6,6,14,17,6,13,5,19,25,32,19,22,10,14,10,8
40,8,21,28,9,6,0,10,3,19,7,18,18,17,9,7,27,28,16,11,14,20,4,20,15,6,42,11,6,6,14,17,6,13,5,19,25,32,19,22,10,14,10,8
40,8,21,28,9,5,0,9,3,19,5,17,18,17,9,7,27,28,16,11,14,16,4,18,15,6,42,10,6,4,14,17,5,13,5,19,25,29,19,22,10,14,10,8
40,8,21,28,9,2,0,8,3,19,5,17,18,17,8,7,27,28,15,11,14,12,4,17,14,6,40,10,6,2,14,17,4,13,5,19,25,29,19,22,10,14,10,8
