Caswell Hall,Harkness House,Goddard House,Morriss Hall,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Grad Center D,111 Brown Street,Champlin,New Pembroke #4,Plantations House,Woolley,Slater Hall,Grad Center C,Chapin House,Gregorian Quad A,Diman House,Gregorian Quad B,Barbour Hall,Minden,Olney House,Littlefield Hall,Emery,Grad Center B,New Pembroke #1,Grad Center A,Barbour Hall Apartments,Hegeman,315 Thayer,Sears House,Young Orchard #10,Marcy House,Machado
44,9,30,4,13,12,39,9,105,6,5,21,9,26,15,17,15,76,12,53,14,48,7,24,16,17,17,16,27,24,18,16,10,14,12
44,9,29,4,13,12,39,8,105,6,5,19,9,24,15,17,15,76,12,50,13,48,7,24,15,17,17,16,27,24,13,16,10,14,12
44,9,29,4,13,12,39,7,104,6,5,17,8,24,15,17,15,72,12,44,13,47,7,24,13,17,17,16,27,24,10,16,10,14,12
44,9,29,4,13,12,39,7,104,6,5,17,6,21,15,17,15,71,12,40,13,47,6,24,12,17,17,16,27,24,7,16,10,14,12
44,9,29,4,13,12,39,7,104,6,4,17,5,19,15,17,15,62,12,37,13,47,6,24,12,17,17,16,26,24,5,16,10,14,11
44,9,29,4,13,8,39,7,104,6,4,16,5,16,15,17,15,61,12,29,13,47,5,24,12,17,17,16,25,24,5,16,10,14,11
44,9,29,4,13,7,39,7,104,6,1,16,5,12,15,17,15,59,12,27,13,46,5,24,9,17,17,16,25,24,3,14,10,14,10
44,9,27,4,9,6,39,6,101,6,1,16,5,9,15,17,15,58,12,27,13,45,5,24,9,17,17,16,25,23,3,13,10,14,9
44,9,20,4,9,6,39,4,101,6,0,16,5,7,15,17,15,58,12,26,13,43,5,24,4,17,17,16,24,23,2,13,10,14,5
44,9,17,4,9,6,39,4,100,6,0,15,5,1,15,17,15,57,12,25,13,43,5,24,4,17,17,16,23,21,1,13,10,14,4
44,9,16,4,9,6,39,2,99,6,0,14,5,1,15,17,14,55,12,25,13,43,5,24,1,17,17,16,23,20,1,12,10,14,3
