res_hall,remaining,total,num_picks
Caswell Hall,46,46,1
Harkness House,14,14,1
Drop to 22,1,1,1
Hegeman,31,31,1
Drop to 316,1,1,1
Perkins Hall,67,67,1
Goddard House,22,22,1
Young Orchard #4,12,12,1
Young Orchard #2,11,11,1
Drop to 329,1,1,1
New Pembroke #3,36,36,1
New Pembroke #2,16,16,1
Grad Center D,108,108,1
No Show,95,95,1
Grad Center B,18,18,1
Drop to 134,1,1,1
New Pembroke #4,49,49,1
Drop to 97,1,1,1
Drop to 178,1,1,1
Drop to 295,1,1,1
Drop to 508,1,1,1
Drop to 509,1,1,1
Drop to 157,1,1,1
Drop to 121,1,1,1
Slater Hall,19,21,1
Drop to 702,1,1,1
Drop to 421,1,1,1
Chapin House,6,6,1
Gregorian Quad A,75,76,1
Drop to 462,1,1,1
Gregorian Quad B,49,53,1
Barbour Hall,16,16,1
111 Brown Street,6,6,1
Grad center A,83,83,1
Olney House,16,16,1
Young Orchard #10,12,12,1
Fake Building,19,19,1
Littlefield Hall,16,16,1
Machado House,11,11,1
Pass,49,49,1
Drop to 370,1,1,1
Drop to 720,1,1,1
Drop to 312,1,1,1
Drop to 493,1,1,1
Drop to 491,1,1,1
Drop to 217,1,1,1
New Pembroke #1,14,14,1
Wayland House,19,19,1
Drop to 162,1,1,1
Drop to 741,1,1,1
Drop to 459,2,2,1
Drop to 164,1,1,1
Drop to 515,1,1,1
Drop to 257,1,1,1
Barbour Hall Apartments,29,29,1
Minden,50,57,1
Grad Center C,15,15,1
Drop to 483,1,1,1
Plantations House,9,9,1
315 Thayer,12,13,1
Sears House,14,14,1
Diman House,13,13,1
Drop to 533,1,1,1
Drop to 454,1,1,1
Marcy House,18,18,1
Drop to 473,1,1,1
Hope College,38,38,1
Caswell Hall,46,46,2
Harkness House,14,14,2
Drop to 22,0,1,2
Hegeman,29,31,2
Drop to 316,1,1,2
Perkins Hall,67,67,2
Goddard House,22,22,2
Young Orchard #4,12,12,2
Young Orchard #2,11,11,2
Drop to 329,1,1,2
